contract_version,schema_version,contract_status,bundle_sha256,top10_members_sha256,signal_date,exec_date,exit_date,feature_as_of_date,feature_snapshot_sha256,promotion_pool_size,top10_count,ts_code,name,industry,stage_transition,top10_selected,promotion_rank,predicted_promotion_probability,big_loss_safety_rank,predicted_big_loss_probability,profit_rank,predicted_profit_probability,promotion_model_status,promotion_model_version,promotion_model_as_of_date,promotion_model_artifact_sha256,promotion_validation_gate_pass_count,promotion_validation_gate_total_count,promotion_validation_gate_score_pct,big_loss_model_status,big_loss_model_version,big_loss_model_as_of_date,big_loss_model_artifact_sha256,big_loss_validation_gate_pass_count,big_loss_validation_gate_total_count,big_loss_validation_gate_score_pct,profit_model_status,profit_model_version,profit_model_as_of_date,profit_model_artifact_sha256,profit_validation_gate_pass_count,profit_validation_gate_total_count,profit_validation_gate_score_pct,p_fill_shadow_rank,p_fill_shadow_probability,p_fill_shadow_status,p_fill_shadow_model_version,p_fill_shadow_model_as_of_date,p_fill_shadow_model_artifact_sha256,p_fill_shadow_snapshot_sha256,p_fill_shadow_validation_gate_pass_count,p_fill_shadow_validation_gate_total_count,p_fill_shadow_validation_gate_score_pct
decision_three_rank_v1,decision_three_rank_top10_v1,PARTIAL_MODELS_NOT_READY,c48b125c83447acab1be75c6c4a0316fff6cb4ddcef22688b0eaa30d09c181a3,ae1284ed8b7c875927bbad0457f8a53a1080c032449d284b167fdcf91529b388,20260923,20260924,20260928,20260923,cdb34d34115e8f73f307902236e0e28ffa41adf60c367f7ffd63a2eff40e5809,10,10,600825.SH,新华传媒,出版,3→4,1,1,0.6726743895264402,,,,,READY,decision_three_engine_models_v2:promotion:20260709:hgb:platt,20260709,b7837d7001917a9c7bcc8814a09b45c6460f36a1adf6a7b5dcc024b4adc5f79c,26,26,100.0,NOT_READY_PRIMARY_ONLY,,,,,,,NOT_READY_PRIMARY_ONLY,,,,,,,,,SHADOW_NOT_READY_PRIMARY_ONLY,,,,49f64ac17167801307899e514f25a0534b021f89ed7e0b518a7e2377161cfd30,,,
decision_three_rank_v1,decision_three_rank_top10_v1,PARTIAL_MODELS_NOT_READY,c48b125c83447acab1be75c6c4a0316fff6cb4ddcef22688b0eaa30d09c181a3,ae1284ed8b7c875927bbad0457f8a53a1080c032449d284b167fdcf91529b388,20260923,20260924,20260928,20260923,cdb34d34115e8f73f307902236e0e28ffa41adf60c367f7ffd63a2eff40e5809,10,10,001234.SZ,泰慕士,服装家纺,3→4,1,2,0.6034374904056092,,,,,READY,decision_three_engine_models_v2:promotion:20260709:hgb:platt,20260709,b7837d7001917a9c7bcc8814a09b45c6460f36a1adf6a7b5dcc024b4adc5f79c,26,26,100.0,NOT_READY_PRIMARY_ONLY,,,,,,,NOT_READY_PRIMARY_ONLY,,,,,,,,,SHADOW_NOT_READY_PRIMARY_ONLY,,,,49f64ac17167801307899e514f25a0534b021f89ed7e0b518a7e2377161cfd30,,,
decision_three_rank_v1,decision_three_rank_top10_v1,PARTIAL_MODELS_NOT_READY,c48b125c83447acab1be75c6c4a0316fff6cb4ddcef22688b0eaa30d09c181a3,ae1284ed8b7c875927bbad0457f8a53a1080c032449d284b167fdcf91529b388,20260923,20260924,20260928,20260923,cdb34d34115e8f73f307902236e0e28ffa41adf60c367f7ffd63a2eff40e5809,10,10,002238.SZ,天威视讯,电视广播,2→3,1,3,0.5828179798962805,,,,,READY,decision_three_engine_models_v2:promotion:20260709:hgb:platt,20260709,b7837d7001917a9c7bcc8814a09b45c6460f36a1adf6a7b5dcc024b4adc5f79c,26,26,100.0,NOT_READY_PRIMARY_ONLY,,,,,,,NOT_READY_PRIMARY_ONLY,,,,,,,,,SHADOW_NOT_READY_PRIMARY_ONLY,,,,49f64ac17167801307899e514f25a0534b021f89ed7e0b518a7e2377161cfd30,,,
decision_three_rank_v1,decision_three_rank_top10_v1,PARTIAL_MODELS_NOT_READY,c48b125c83447acab1be75c6c4a0316fff6cb4ddcef22688b0eaa30d09c181a3,ae1284ed8b7c875927bbad0457f8a53a1080c032449d284b167fdcf91529b388,20260923,20260924,20260928,20260923,cdb34d34115e8f73f307902236e0e28ffa41adf60c367f7ffd63a2eff40e5809,10,10,600743.SH,华远控股,房地产服务,3→4,1,4,0.4795804707692192,,,,,READY,decision_three_engine_models_v2:promotion:20260709:hgb:platt,20260709,b7837d7001917a9c7bcc8814a09b45c6460f36a1adf6a7b5dcc024b4adc5f79c,26,26,100.0,NOT_READY_PRIMARY_ONLY,,,,,,,NOT_READY_PRIMARY_ONLY,,,,,,,,,SHADOW_NOT_READY_PRIMARY_ONLY,,,,49f64ac17167801307899e514f25a0534b021f89ed7e0b518a7e2377161cfd30,,,
decision_three_rank_v1,decision_three_rank_top10_v1,PARTIAL_MODELS_NOT_READY,c48b125c83447acab1be75c6c4a0316fff6cb4ddcef22688b0eaa30d09c181a3,ae1284ed8b7c875927bbad0457f8a53a1080c032449d284b167fdcf91529b388,20260923,20260924,20260928,20260923,cdb34d34115e8f73f307902236e0e28ffa41adf60c367f7ffd63a2eff40e5809,10,10,600503.SH,华丽家族,房地产开发,3→4,1,5,0.4459779959368211,,,,,READY,decision_three_engine_models_v2:promotion:20260709:hgb:platt,20260709,b7837d7001917a9c7bcc8814a09b45c6460f36a1adf6a7b5dcc024b4adc5f79c,26,26,100.0,NOT_READY_PRIMARY_ONLY,,,,,,,NOT_READY_PRIMARY_ONLY,,,,,,,,,SHADOW_NOT_READY_PRIMARY_ONLY,,,,49f64ac17167801307899e514f25a0534b021f89ed7e0b518a7e2377161cfd30,,,
decision_three_rank_v1,decision_three_rank_top10_v1,PARTIAL_MODELS_NOT_READY,c48b125c83447acab1be75c6c4a0316fff6cb4ddcef22688b0eaa30d09c181a3,ae1284ed8b7c875927bbad0457f8a53a1080c032449d284b167fdcf91529b388,20260923,20260924,20260928,20260923,cdb34d34115e8f73f307902236e0e28ffa41adf60c367f7ffd63a2eff40e5809,10,10,000560.SZ,我爱我家,房地产服务,3→4,1,6,0.4390862324188059,,,,,READY,decision_three_engine_models_v2:promotion:20260709:hgb:platt,20260709,b7837d7001917a9c7bcc8814a09b45c6460f36a1adf6a7b5dcc024b4adc5f79c,26,26,100.0,NOT_READY_PRIMARY_ONLY,,,,,,,NOT_READY_PRIMARY_ONLY,,,,,,,,,SHADOW_NOT_READY_PRIMARY_ONLY,,,,49f64ac17167801307899e514f25a0534b021f89ed7e0b518a7e2377161cfd30,,,
decision_three_rank_v1,decision_three_rank_top10_v1,PARTIAL_MODELS_NOT_READY,c48b125c83447acab1be75c6c4a0316fff6cb4ddcef22688b0eaa30d09c181a3,ae1284ed8b7c875927bbad0457f8a53a1080c032449d284b167fdcf91529b388,20260923,20260924,20260928,20260923,cdb34d34115e8f73f307902236e0e28ffa41adf60c367f7ffd63a2eff40e5809,10,10,603636.SH,南威软件,IT服务Ⅱ,3→4,1,7,0.42425601321344864,,,,,READY,decision_three_engine_models_v2:promotion:20260709:hgb:platt,20260709,b7837d7001917a9c7bcc8814a09b45c6460f36a1adf6a7b5dcc024b4adc5f79c,26,26,100.0,NOT_READY_PRIMARY_ONLY,,,,,,,NOT_READY_PRIMARY_ONLY,,,,,,,,,SHADOW_NOT_READY_PRIMARY_ONLY,,,,49f64ac17167801307899e514f25a0534b021f89ed7e0b518a7e2377161cfd30,,,
decision_three_rank_v1,decision_three_rank_top10_v1,PARTIAL_MODELS_NOT_READY,c48b125c83447acab1be75c6c4a0316fff6cb4ddcef22688b0eaa30d09c181a3,ae1284ed8b7c875927bbad0457f8a53a1080c032449d284b167fdcf91529b388,20260923,20260924,20260928,20260923,cdb34d34115e8f73f307902236e0e28ffa41adf60c367f7ffd63a2eff40e5809,10,10,002614.SZ,奥佳华,其他家电,3→4,1,8,0.339778071913359,,,,,READY,decision_three_engine_models_v2:promotion:20260709:hgb:platt,20260709,b7837d7001917a9c7bcc8814a09b45c6460f36a1adf6a7b5dcc024b4adc5f79c,26,26,100.0,NOT_READY_PRIMARY_ONLY,,,,,,,NOT_READY_PRIMARY_ONLY,,,,,,,,,SHADOW_NOT_READY_PRIMARY_ONLY,,,,49f64ac17167801307899e514f25a0534b021f89ed7e0b518a7e2377161cfd30,,,
decision_three_rank_v1,decision_three_rank_top10_v1,PARTIAL_MODELS_NOT_READY,c48b125c83447acab1be75c6c4a0316fff6cb4ddcef22688b0eaa30d09c181a3,ae1284ed8b7c875927bbad0457f8a53a1080c032449d284b167fdcf91529b388,20260923,20260924,20260928,20260923,cdb34d34115e8f73f307902236e0e28ffa41adf60c367f7ffd63a2eff40e5809,10,10,600418.SH,江淮汽车,商用车,2→3,1,9,0.20999536200274044,,,,,READY,decision_three_engine_models_v2:promotion:20260709:hgb:platt,20260709,b7837d7001917a9c7bcc8814a09b45c6460f36a1adf6a7b5dcc024b4adc5f79c,26,26,100.0,NOT_READY_PRIMARY_ONLY,,,,,,,NOT_READY_PRIMARY_ONLY,,,,,,,,,SHADOW_NOT_READY_PRIMARY_ONLY,,,,49f64ac17167801307899e514f25a0534b021f89ed7e0b518a7e2377161cfd30,,,
decision_three_rank_v1,decision_three_rank_top10_v1,PARTIAL_MODELS_NOT_READY,c48b125c83447acab1be75c6c4a0316fff6cb4ddcef22688b0eaa30d09c181a3,ae1284ed8b7c875927bbad0457f8a53a1080c032449d284b167fdcf91529b388,20260923,20260924,20260928,20260923,cdb34d34115e8f73f307902236e0e28ffa41adf60c367f7ffd63a2eff40e5809,10,10,605058.SH,澳弘电子,元件,2→3,1,10,0.13698310815312134,,,,,READY,decision_three_engine_models_v2:promotion:20260709:hgb:platt,20260709,b7837d7001917a9c7bcc8814a09b45c6460f36a1adf6a7b5dcc024b4adc5f79c,26,26,100.0,NOT_READY_PRIMARY_ONLY,,,,,,,NOT_READY_PRIMARY_ONLY,,,,,,,,,SHADOW_NOT_READY_PRIMARY_ONLY,,,,49f64ac17167801307899e514f25a0534b021f89ed7e0b518a7e2377161cfd30,,,
