contract_version,schema_version,contract_status,bundle_sha256,top10_members_sha256,signal_date,exec_date,exit_date,feature_as_of_date,feature_snapshot_sha256,promotion_pool_size,top10_count,ts_code,name,industry,stage_transition,top10_selected,promotion_rank,predicted_promotion_probability,big_loss_safety_rank,predicted_big_loss_probability,profit_rank,predicted_profit_probability,promotion_model_status,promotion_model_version,promotion_model_as_of_date,promotion_model_artifact_sha256,promotion_validation_gate_pass_count,promotion_validation_gate_total_count,promotion_validation_gate_score_pct,big_loss_model_status,big_loss_model_version,big_loss_model_as_of_date,big_loss_model_artifact_sha256,big_loss_validation_gate_pass_count,big_loss_validation_gate_total_count,big_loss_validation_gate_score_pct,profit_model_status,profit_model_version,profit_model_as_of_date,profit_model_artifact_sha256,profit_validation_gate_pass_count,profit_validation_gate_total_count,profit_validation_gate_score_pct,p_fill_shadow_rank,p_fill_shadow_probability,p_fill_shadow_status,p_fill_shadow_model_version,p_fill_shadow_model_as_of_date,p_fill_shadow_model_artifact_sha256,p_fill_shadow_snapshot_sha256,p_fill_shadow_validation_gate_pass_count,p_fill_shadow_validation_gate_total_count,p_fill_shadow_validation_gate_score_pct
decision_three_rank_v1,decision_three_rank_top10_v1,PARTIAL_MODELS_NOT_READY,4e236e3a0a490a7846011c0005e3d56b37958053c538b5db81f4e51245159250,782e4cd8792018bbc1231107cac107d291ab183d7c80f1cb3865f0eaac4ea2c8,20260924,20260928,20260929,20260924,61c6428e9881e61b14307ee8713b016ad569c018beb7a76a2b37cf98cd007542,9,9,000850.SZ,华茂股份,纺织制造,2→3,1,1,0.5931636414994466,,,,,READY,decision_three_engine_models_v2:promotion:20260709:hgb:platt,20260709,b7837d7001917a9c7bcc8814a09b45c6460f36a1adf6a7b5dcc024b4adc5f79c,26,26,100.0,NOT_READY_PRIMARY_ONLY,,,,,,,NOT_READY_PRIMARY_ONLY,,,,,,,,,SHADOW_NOT_READY_PRIMARY_ONLY,,,,205d695442b90a722e0d6ceab8b40302550c532260d4727289fbf740a0d28cdf,,,
decision_three_rank_v1,decision_three_rank_top10_v1,PARTIAL_MODELS_NOT_READY,4e236e3a0a490a7846011c0005e3d56b37958053c538b5db81f4e51245159250,782e4cd8792018bbc1231107cac107d291ab183d7c80f1cb3865f0eaac4ea2c8,20260924,20260928,20260929,20260924,61c6428e9881e61b14307ee8713b016ad569c018beb7a76a2b37cf98cd007542,9,9,002909.SZ,集泰股份,化学制品,2→3,1,2,0.46920922737444243,,,,,READY,decision_three_engine_models_v2:promotion:20260709:hgb:platt,20260709,b7837d7001917a9c7bcc8814a09b45c6460f36a1adf6a7b5dcc024b4adc5f79c,26,26,100.0,NOT_READY_PRIMARY_ONLY,,,,,,,NOT_READY_PRIMARY_ONLY,,,,,,,,,SHADOW_NOT_READY_PRIMARY_ONLY,,,,205d695442b90a722e0d6ceab8b40302550c532260d4727289fbf740a0d28cdf,,,
decision_three_rank_v1,decision_three_rank_top10_v1,PARTIAL_MODELS_NOT_READY,4e236e3a0a490a7846011c0005e3d56b37958053c538b5db81f4e51245159250,782e4cd8792018bbc1231107cac107d291ab183d7c80f1cb3865f0eaac4ea2c8,20260924,20260928,20260929,20260924,61c6428e9881e61b14307ee8713b016ad569c018beb7a76a2b37cf98cd007542,9,9,002238.SZ,天威视讯,电视广播,3→4,1,3,0.41438234008816927,,,,,READY,decision_three_engine_models_v2:promotion:20260709:hgb:platt,20260709,b7837d7001917a9c7bcc8814a09b45c6460f36a1adf6a7b5dcc024b4adc5f79c,26,26,100.0,NOT_READY_PRIMARY_ONLY,,,,,,,NOT_READY_PRIMARY_ONLY,,,,,,,,,SHADOW_NOT_READY_PRIMARY_ONLY,,,,205d695442b90a722e0d6ceab8b40302550c532260d4727289fbf740a0d28cdf,,,
decision_three_rank_v1,decision_three_rank_top10_v1,PARTIAL_MODELS_NOT_READY,4e236e3a0a490a7846011c0005e3d56b37958053c538b5db81f4e51245159250,782e4cd8792018bbc1231107cac107d291ab183d7c80f1cb3865f0eaac4ea2c8,20260924,20260928,20260929,20260924,61c6428e9881e61b14307ee8713b016ad569c018beb7a76a2b37cf98cd007542,9,9,600843.SH,上工申贝,专用设备,2→3,1,4,0.3958968798054004,,,,,READY,decision_three_engine_models_v2:promotion:20260709:hgb:platt,20260709,b7837d7001917a9c7bcc8814a09b45c6460f36a1adf6a7b5dcc024b4adc5f79c,26,26,100.0,NOT_READY_PRIMARY_ONLY,,,,,,,NOT_READY_PRIMARY_ONLY,,,,,,,,,SHADOW_NOT_READY_PRIMARY_ONLY,,,,205d695442b90a722e0d6ceab8b40302550c532260d4727289fbf740a0d28cdf,,,
decision_three_rank_v1,decision_three_rank_top10_v1,PARTIAL_MODELS_NOT_READY,4e236e3a0a490a7846011c0005e3d56b37958053c538b5db81f4e51245159250,782e4cd8792018bbc1231107cac107d291ab183d7c80f1cb3865f0eaac4ea2c8,20260924,20260928,20260929,20260924,61c6428e9881e61b14307ee8713b016ad569c018beb7a76a2b37cf98cd007542,9,9,600802.SH,福建水泥,水泥,2→3,1,5,0.39055620614060915,,,,,READY,decision_three_engine_models_v2:promotion:20260709:hgb:platt,20260709,b7837d7001917a9c7bcc8814a09b45c6460f36a1adf6a7b5dcc024b4adc5f79c,26,26,100.0,NOT_READY_PRIMARY_ONLY,,,,,,,NOT_READY_PRIMARY_ONLY,,,,,,,,,SHADOW_NOT_READY_PRIMARY_ONLY,,,,205d695442b90a722e0d6ceab8b40302550c532260d4727289fbf740a0d28cdf,,,
decision_three_rank_v1,decision_three_rank_top10_v1,PARTIAL_MODELS_NOT_READY,4e236e3a0a490a7846011c0005e3d56b37958053c538b5db81f4e51245159250,782e4cd8792018bbc1231107cac107d291ab183d7c80f1cb3865f0eaac4ea2c8,20260924,20260928,20260929,20260924,61c6428e9881e61b14307ee8713b016ad569c018beb7a76a2b37cf98cd007542,9,9,603949.SH,雪龙集团,汽车零部件,2→3,1,6,0.37214577733642945,,,,,READY,decision_three_engine_models_v2:promotion:20260709:hgb:platt,20260709,b7837d7001917a9c7bcc8814a09b45c6460f36a1adf6a7b5dcc024b4adc5f79c,26,26,100.0,NOT_READY_PRIMARY_ONLY,,,,,,,NOT_READY_PRIMARY_ONLY,,,,,,,,,SHADOW_NOT_READY_PRIMARY_ONLY,,,,205d695442b90a722e0d6ceab8b40302550c532260d4727289fbf740a0d28cdf,,,
decision_three_rank_v1,decision_three_rank_top10_v1,PARTIAL_MODELS_NOT_READY,4e236e3a0a490a7846011c0005e3d56b37958053c538b5db81f4e51245159250,782e4cd8792018bbc1231107cac107d291ab183d7c80f1cb3865f0eaac4ea2c8,20260924,20260928,20260929,20260924,61c6428e9881e61b14307ee8713b016ad569c018beb7a76a2b37cf98cd007542,9,9,002119.SZ,康强电子,半导体,2→3,1,7,0.33822069178739234,,,,,READY,decision_three_engine_models_v2:promotion:20260709:hgb:platt,20260709,b7837d7001917a9c7bcc8814a09b45c6460f36a1adf6a7b5dcc024b4adc5f79c,26,26,100.0,NOT_READY_PRIMARY_ONLY,,,,,,,NOT_READY_PRIMARY_ONLY,,,,,,,,,SHADOW_NOT_READY_PRIMARY_ONLY,,,,205d695442b90a722e0d6ceab8b40302550c532260d4727289fbf740a0d28cdf,,,
decision_three_rank_v1,decision_three_rank_top10_v1,PARTIAL_MODELS_NOT_READY,4e236e3a0a490a7846011c0005e3d56b37958053c538b5db81f4e51245159250,782e4cd8792018bbc1231107cac107d291ab183d7c80f1cb3865f0eaac4ea2c8,20260924,20260928,20260929,20260924,61c6428e9881e61b14307ee8713b016ad569c018beb7a76a2b37cf98cd007542,9,9,603396.SH,金辰股份,光伏设备,2→3,1,8,0.2939825933888232,,,,,READY,decision_three_engine_models_v2:promotion:20260709:hgb:platt,20260709,b7837d7001917a9c7bcc8814a09b45c6460f36a1adf6a7b5dcc024b4adc5f79c,26,26,100.0,NOT_READY_PRIMARY_ONLY,,,,,,,NOT_READY_PRIMARY_ONLY,,,,,,,,,SHADOW_NOT_READY_PRIMARY_ONLY,,,,205d695442b90a722e0d6ceab8b40302550c532260d4727289fbf740a0d28cdf,,,
decision_three_rank_v1,decision_three_rank_top10_v1,PARTIAL_MODELS_NOT_READY,4e236e3a0a490a7846011c0005e3d56b37958053c538b5db81f4e51245159250,782e4cd8792018bbc1231107cac107d291ab183d7c80f1cb3865f0eaac4ea2c8,20260924,20260928,20260929,20260924,61c6428e9881e61b14307ee8713b016ad569c018beb7a76a2b37cf98cd007542,9,9,002819.SZ,东方中科,通用设备,2→3,1,9,0.26833909446204,,,,,READY,decision_three_engine_models_v2:promotion:20260709:hgb:platt,20260709,b7837d7001917a9c7bcc8814a09b45c6460f36a1adf6a7b5dcc024b4adc5f79c,26,26,100.0,NOT_READY_PRIMARY_ONLY,,,,,,,NOT_READY_PRIMARY_ONLY,,,,,,,,,SHADOW_NOT_READY_PRIMARY_ONLY,,,,205d695442b90a722e0d6ceab8b40302550c532260d4727289fbf740a0d28cdf,,,
