signal_date,exec_date,exit_date,ts_code,name,industry,stage_transition,promotion_rank,promotion_probability,path_label,path_change_pct,profit_rank,profit_score
20260908,20260909,20260910,000759.SZ,中百集团,一般零售,2→3,1,0.5471463835292517,弱转强,0.33626764398690556,3,0.36574388442253397
20260908,20260909,20260910,600354.SH,敦煌种业,种植业,3→4,2,0.5194451903219616,加速一致,0.09910042347247394,6,0.31314730675437324
20260908,20260909,20260910,603042.SH,华脉科技,通信设备,2→3,3,0.5140577238660948,加速一致,0.2564047619047619,9,0.22755236724123623
20260908,20260909,20260910,000978.SZ,桂林旅游,旅游及景,2→3,4,0.5092665618762472,加速一致,0.3997839322387581,7,0.2762023258241086
20260908,20260909,20260910,601949.SH,中国出版,出版,3→4,5,0.506462012169593,路径混合,0.32528222282437713,8,0.2557702504401827
20260908,20260909,20260910,002702.SZ,海欣食品,食品加工,3→4,6,0.46946995228948185,分歧回封,-0.1333333333333333,4,0.3632468193383312
20260908,20260909,20260910,603999.SH,读者传媒,出版,2→3,7,0.4662191152776552,弱转强,0.4503787878787878,10,0.22540940259617917
20260908,20260909,20260910,002909.SZ,集泰股份,化学制品,2→3,8,0.3431058713038031,强转弱,-0.2991646973613525,5,0.34848766014872046
20260908,20260909,20260910,002172.SZ,澳洋健康,医疗服务,2→3,9,0.33588221987164696,强转弱,-0.22963642121435118,2,0.3930450173255752
20260908,20260909,20260910,002579.SZ,中京电子,元件,2→3,10,0.32677817488210814,加速一致,0.23007179551174017,1,0.3974659746418827
