ts_code,trade_time,open,close,high,low,vol,amount
002377.SZ,2026-09-17 09:31:00,3.1,3.12,3.13,3.1,4424200.0,13790677.0
002377.SZ,2026-09-17 09:32:00,3.1,3.07,3.11,3.06,5577300.0,17228172.0
002377.SZ,2026-09-17 09:33:00,3.07,3.05,3.07,3.03,4916600.0,15011034.0
002377.SZ,2026-09-17 09:34:00,3.06,3.12,3.12,3.06,2216400.0,6833275.0
002377.SZ,2026-09-17 09:35:00,3.12,3.11,3.14,3.11,1907000.0,5955020.0
002377.SZ,2026-09-17 09:36:00,3.1,3.08,3.1,3.08,1049900.0,3244504.0
002377.SZ,2026-09-17 09:37:00,3.08,3.07,3.08,3.07,1373400.0,4222067.0
002377.SZ,2026-09-17 09:38:00,3.07,3.09,3.1,3.07,1146700.0,3536043.0
002377.SZ,2026-09-17 09:39:00,3.09,3.07,3.09,3.06,1584200.0,4864494.0
002377.SZ,2026-09-17 09:40:00,3.07,3.09,3.09,3.07,737500.0,2266091.0
002377.SZ,2026-09-17 09:41:00,3.08,3.06,3.09,3.06,689900.0,2121419.0
002377.SZ,2026-09-17 09:42:00,3.06,3.06,3.07,3.06,884200.0,2707119.0
002377.SZ,2026-09-17 09:43:00,3.06,3.06,3.07,3.06,721700.0,2210114.0
002377.SZ,2026-09-17 09:44:00,3.06,3.07,3.07,3.06,941800.0,2891823.0
002377.SZ,2026-09-17 09:45:00,3.08,3.09,3.09,3.07,441700.0,1361615.0
002377.SZ,2026-09-17 09:46:00,3.1,3.12,3.14,3.1,1550000.0,4837157.0
002377.SZ,2026-09-17 09:47:00,3.11,3.13,3.13,3.11,1019800.0,3188602.0
002377.SZ,2026-09-17 09:48:00,3.13,3.13,3.14,3.13,752700.0,2358272.0
002377.SZ,2026-09-17 09:49:00,3.13,3.13,3.15,3.13,1150800.0,3613644.0
002377.SZ,2026-09-17 09:50:00,3.14,3.13,3.14,3.13,649400.0,2036819.0
002377.SZ,2026-09-17 09:51:00,3.13,3.13,3.14,3.13,440000.0,1378933.0
002377.SZ,2026-09-17 09:52:00,3.13,3.12,3.13,3.12,959400.0,2997753.0
002377.SZ,2026-09-17 09:53:00,3.12,3.11,3.12,3.11,501100.0,1559128.0
002377.SZ,2026-09-17 09:54:00,3.11,3.11,3.11,3.1,797800.0,2479412.0
002377.SZ,2026-09-17 09:55:00,3.11,3.11,3.12,3.11,440700.0,1373398.0
002377.SZ,2026-09-17 09:56:00,3.12,3.1,3.12,3.1,290700.0,904991.0
002377.SZ,2026-09-17 09:57:00,3.1,3.1,3.11,3.1,439300.0,1363036.0
002377.SZ,2026-09-17 09:58:00,3.1,3.1,3.11,3.1,344700.0,1068793.0
002377.SZ,2026-09-17 09:59:00,3.1,3.09,3.1,3.09,845000.0,2611473.0
002377.SZ,2026-09-17 10:00:00,3.09,3.1,3.11,3.08,441800.0,1366125.0
002377.SZ,2026-09-17 10:01:00,3.1,3.09,3.1,3.08,513300.0,1586180.0
002377.SZ,2026-09-17 10:02:00,3.08,3.09,3.09,3.08,314100.0,969265.0
002377.SZ,2026-09-17 10:03:00,3.08,3.08,3.09,3.08,292800.0,902907.0
002377.SZ,2026-09-17 10:04:00,3.08,3.08,3.09,3.08,381900.0,1176763.0
002377.SZ,2026-09-17 10:05:00,3.08,3.08,3.09,3.08,115700.0,356789.0
002377.SZ,2026-09-17 10:06:00,3.08,3.09,3.09,3.08,215800.0,665017.0
002377.SZ,2026-09-17 10:07:00,3.09,3.1,3.1,3.08,293900.0,907203.0
002377.SZ,2026-09-17 10:08:00,3.1,3.1,3.1,3.09,155500.0,481728.0
002377.SZ,2026-09-17 10:09:00,3.09,3.1,3.1,3.09,279500.0,864602.0
002377.SZ,2026-09-17 10:10:00,3.09,3.09,3.1,3.08,265100.0,819049.0
002377.SZ,2026-09-17 10:11:00,3.08,3.09,3.09,3.08,221000.0,681152.0
002377.SZ,2026-09-17 10:12:00,3.08,3.09,3.09,3.08,210200.0,647784.0
002377.SZ,2026-09-17 10:13:00,3.08,3.08,3.09,3.07,533500.0,1642089.0
002377.SZ,2026-09-17 10:14:00,3.07,3.07,3.08,3.07,627100.0,1925570.0
002377.SZ,2026-09-17 10:15:00,3.07,3.07,3.07,3.06,300200.0,919286.0
002377.SZ,2026-09-17 10:16:00,3.07,3.06,3.07,3.06,324600.0,996180.0
002377.SZ,2026-09-17 10:17:00,3.07,3.06,3.07,3.06,260900.0,800100.0
002377.SZ,2026-09-17 10:18:00,3.07,3.07,3.07,3.06,233200.0,714648.0
002377.SZ,2026-09-17 10:19:00,3.06,3.06,3.07,3.06,425200.0,1302384.0
002377.SZ,2026-09-17 10:20:00,3.06,3.07,3.07,3.06,357300.0,1094496.0
002377.SZ,2026-09-17 10:21:00,3.06,3.06,3.07,3.06,141400.0,433079.0
002377.SZ,2026-09-17 10:22:00,3.06,3.07,3.07,3.06,260500.0,797787.0
002377.SZ,2026-09-17 10:23:00,3.07,3.06,3.07,3.06,523000.0,1601203.0
002377.SZ,2026-09-17 10:24:00,3.06,3.07,3.07,3.06,127400.0,390516.0
002377.SZ,2026-09-17 10:25:00,3.06,3.07,3.07,3.06,201300.0,616686.0
002377.SZ,2026-09-17 10:26:00,3.07,3.07,3.07,3.06,518000.0,1589813.0
002377.SZ,2026-09-17 10:27:00,3.07,3.07,3.08,3.07,317300.0,974629.0
002377.SZ,2026-09-17 10:28:00,3.08,3.07,3.08,3.07,168000.0,516241.0
002377.SZ,2026-09-17 10:29:00,3.07,3.09,3.09,3.07,405000.0,1247901.0
002377.SZ,2026-09-17 10:30:00,3.08,3.08,3.09,3.08,73800.0,227622.0
002377.SZ,2026-09-17 10:31:00,3.08,3.07,3.08,3.07,661800.0,2037123.0
002377.SZ,2026-09-17 10:32:00,3.08,3.08,3.08,3.07,137300.0,422538.0
002377.SZ,2026-09-17 10:33:00,3.07,3.09,3.09,3.07,294800.0,908230.0
002377.SZ,2026-09-17 10:34:00,3.09,3.09,3.09,3.08,178200.0,549966.0
002377.SZ,2026-09-17 10:35:00,3.08,3.08,3.09,3.08,52800.0,162715.0
002377.SZ,2026-09-17 10:36:00,3.08,3.07,3.08,3.07,408700.0,1258746.0
002377.SZ,2026-09-17 10:37:00,3.07,3.07,3.08,3.07,147400.0,453633.0
002377.SZ,2026-09-17 10:38:00,3.07,3.08,3.08,3.07,128400.0,394528.0
002377.SZ,2026-09-17 10:39:00,3.07,3.07,3.08,3.07,154800.0,475897.0
002377.SZ,2026-09-17 10:40:00,3.08,3.08,3.08,3.07,450500.0,1387751.0
002377.SZ,2026-09-17 10:41:00,3.08,3.11,3.11,3.07,1081800.0,3343365.0
002377.SZ,2026-09-17 10:42:00,3.11,3.09,3.11,3.09,130000.0,403029.0
002377.SZ,2026-09-17 10:43:00,3.1,3.1,3.1,3.09,36700.0,113578.0
002377.SZ,2026-09-17 10:44:00,3.1,3.09,3.1,3.08,264900.0,818440.0
002377.SZ,2026-09-17 10:45:00,3.09,3.09,3.09,3.08,109300.0,337270.0
002377.SZ,2026-09-17 10:46:00,3.09,3.08,3.09,3.08,65600.0,202243.0
002377.SZ,2026-09-17 10:47:00,3.09,3.09,3.09,3.08,98900.0,304906.0
002377.SZ,2026-09-17 10:48:00,3.08,3.08,3.09,3.08,56600.0,174379.0
002377.SZ,2026-09-17 10:49:00,3.08,3.08,3.09,3.08,49100.0,151308.0
002377.SZ,2026-09-17 10:50:00,3.08,3.08,3.09,3.08,75900.0,233841.0
002377.SZ,2026-09-17 10:51:00,3.08,3.08,3.09,3.08,89200.0,274738.0
002377.SZ,2026-09-17 10:52:00,3.08,3.08,3.09,3.08,23300.0,71823.0
002377.SZ,2026-09-17 10:53:00,3.08,3.08,3.09,3.08,36000.0,110889.0
002377.SZ,2026-09-17 10:54:00,3.08,3.09,3.09,3.08,10400.0,32102.0
002377.SZ,2026-09-17 10:55:00,3.08,3.08,3.09,3.08,62900.0,193793.0
002377.SZ,2026-09-17 10:56:00,3.09,3.08,3.09,3.08,18100.0,55820.0
002377.SZ,2026-09-17 10:57:00,3.08,3.08,3.09,3.08,67700.0,208808.0
002377.SZ,2026-09-17 10:58:00,3.08,3.08,3.09,3.08,155300.0,479534.0
002377.SZ,2026-09-17 10:59:00,3.09,3.09,3.09,3.08,225300.0,695906.0
002377.SZ,2026-09-17 11:00:00,3.09,3.1,3.1,3.09,41500.0,128373.0
002377.SZ,2026-09-17 11:01:00,3.09,3.1,3.1,3.09,60200.0,186059.0
