ts_code,trade_time,open,close,high,low,vol,amount
000565.SZ,2026-09-17 09:31:00,6.49,6.44,6.53,6.44,737400.0,4775596.0
000565.SZ,2026-09-17 09:32:00,6.44,6.44,6.45,6.38,905100.0,5801487.0
000565.SZ,2026-09-17 09:33:00,6.44,6.46,6.46,6.43,375200.0,2418183.0
000565.SZ,2026-09-17 09:34:00,6.46,6.44,6.48,6.44,296600.0,1915875.0
000565.SZ,2026-09-17 09:35:00,6.44,6.4,6.44,6.4,346600.0,2227201.0
000565.SZ,2026-09-17 09:36:00,6.4,6.41,6.41,6.38,582800.0,3724831.0
000565.SZ,2026-09-17 09:37:00,6.4,6.42,6.44,6.4,162000.0,1040819.0
000565.SZ,2026-09-17 09:38:00,6.42,6.43,6.45,6.42,341300.0,2194030.0
000565.SZ,2026-09-17 09:39:00,6.43,6.39,6.43,6.39,239900.0,1535982.0
000565.SZ,2026-09-17 09:40:00,6.4,6.37,6.4,6.37,323200.0,2062749.0
000565.SZ,2026-09-17 09:41:00,6.37,6.38,6.39,6.36,251400.0,1601713.0
000565.SZ,2026-09-17 09:42:00,6.39,6.43,6.43,6.36,348000.0,2220910.0
000565.SZ,2026-09-17 09:43:00,6.42,6.48,6.48,6.42,230900.0,1491404.0
000565.SZ,2026-09-17 09:44:00,6.47,6.47,6.48,6.46,233400.0,1510281.0
000565.SZ,2026-09-17 09:45:00,6.47,6.55,6.55,6.47,324811.0,2115452.2
000565.SZ,2026-09-17 09:46:00,6.55,6.54,6.56,6.53,256800.0,1680645.0
000565.SZ,2026-09-17 09:47:00,6.54,6.55,6.55,6.53,164800.0,1078846.0
000565.SZ,2026-09-17 09:48:00,6.56,6.54,6.56,6.54,223900.0,1465471.0
000565.SZ,2026-09-17 09:49:00,6.54,6.58,6.58,6.53,261300.0,1714182.0
000565.SZ,2026-09-17 09:50:00,6.57,6.55,6.57,6.55,119000.0,780909.0
000565.SZ,2026-09-17 09:51:00,6.56,6.54,6.56,6.53,263300.0,1722972.0
000565.SZ,2026-09-17 09:52:00,6.54,6.52,6.55,6.52,57600.0,376281.0
000565.SZ,2026-09-17 09:53:00,6.52,6.53,6.53,6.51,70500.0,459709.0
000565.SZ,2026-09-17 09:54:00,6.53,6.54,6.54,6.52,183800.0,1199962.0
000565.SZ,2026-09-17 09:55:00,6.55,6.54,6.55,6.53,136600.0,893467.0
000565.SZ,2026-09-17 09:56:00,6.54,6.53,6.55,6.53,143900.0,940852.0
000565.SZ,2026-09-17 09:57:00,6.53,6.52,6.53,6.52,70600.0,460707.0
000565.SZ,2026-09-17 09:58:00,6.51,6.51,6.52,6.5,142900.0,930574.0
000565.SZ,2026-09-17 09:59:00,6.52,6.54,6.55,6.51,333100.0,2175737.0
000565.SZ,2026-09-17 10:00:00,6.55,6.57,6.57,6.55,149500.0,980717.0
000565.SZ,2026-09-17 10:01:00,6.56,6.55,6.56,6.54,124500.0,815608.0
000565.SZ,2026-09-17 10:02:00,6.54,6.54,6.55,6.54,65600.0,429085.0
000565.SZ,2026-09-17 10:03:00,6.54,6.54,6.54,6.53,82500.0,539087.0
000565.SZ,2026-09-17 10:04:00,6.54,6.56,6.56,6.54,45400.0,297289.0
000565.SZ,2026-09-17 10:05:00,6.56,6.55,6.57,6.55,100200.0,657131.0
000565.SZ,2026-09-17 10:06:00,6.55,6.59,6.59,6.55,261300.0,1716829.0
000565.SZ,2026-09-17 10:07:00,6.59,6.57,6.6,6.57,231900.0,1526727.0
000565.SZ,2026-09-17 10:08:00,6.57,6.56,6.57,6.55,83200.0,545646.0
000565.SZ,2026-09-17 10:09:00,6.57,6.57,6.57,6.56,77600.0,509762.0
000565.SZ,2026-09-17 10:10:00,6.56,6.55,6.56,6.54,68900.0,451716.0
000565.SZ,2026-09-17 10:11:00,6.54,6.53,6.54,6.53,59700.0,390085.0
000565.SZ,2026-09-17 10:12:00,6.52,6.53,6.54,6.52,60000.0,391640.0
000565.SZ,2026-09-17 10:13:00,6.53,6.51,6.53,6.51,81900.0,533489.0
000565.SZ,2026-09-17 10:14:00,6.51,6.49,6.51,6.49,137800.0,895688.0
000565.SZ,2026-09-17 10:15:00,6.5,6.52,6.52,6.48,91400.0,595017.0
000565.SZ,2026-09-17 10:16:00,6.51,6.5,6.51,6.5,95600.0,622054.0
000565.SZ,2026-09-17 10:17:00,6.5,6.49,6.51,6.49,56000.0,364025.0
000565.SZ,2026-09-17 10:18:00,6.49,6.51,6.51,6.49,69300.0,450387.0
000565.SZ,2026-09-17 10:19:00,6.51,6.53,6.53,6.5,50100.0,326612.0
000565.SZ,2026-09-17 10:20:00,6.53,6.52,6.53,6.52,54200.0,353867.0
000565.SZ,2026-09-17 10:21:00,6.52,6.51,6.52,6.51,17200.0,112089.0
000565.SZ,2026-09-17 10:22:00,6.51,6.52,6.52,6.51,46900.0,305759.0
000565.SZ,2026-09-17 10:23:00,6.52,6.53,6.53,6.52,59000.0,385175.0
000565.SZ,2026-09-17 10:24:00,6.52,6.53,6.53,6.52,17300.0,112915.0
000565.SZ,2026-09-17 10:25:00,6.52,6.54,6.54,6.52,44200.0,288693.0
000565.SZ,2026-09-17 10:26:00,6.54,6.56,6.56,6.53,59500.0,389394.0
000565.SZ,2026-09-17 10:27:00,6.55,6.56,6.56,6.55,113900.0,746786.0
000565.SZ,2026-09-17 10:28:00,6.57,6.58,6.58,6.56,31400.0,206278.0
000565.SZ,2026-09-17 10:29:00,6.57,6.58,6.58,6.57,24300.0,159769.0
