signal_date,slot_rank,ts_code,name,exec_date,entry_price,actual_exit_date,exit_price,net_return,status,formal_statistics_eligible,actual_execution_claimed
20260921,1,000910.SZ,大亚圣象,20260922,6.03,20260924,8.0,0.32219983416252046,POSTHOC_SETTLED_MINUTE_PROXY,False,False
20260921,2,002589.SZ,瑞康医药,20260922,3.81,20260923,3.46,-0.09636351706036755,POSTHOC_SETTLED_MINUTE_PROXY,False,False
