ts_code,name,industry,stage_transition,promotion_rank,predicted_promotion_probability,research_fill_proxy_score,research_conditional_profit_score,research_joint_proxy_score,source_executable_profit_research_rank,internal_shadow_order,internal_shadow_selected,shadow_slot,shadow_max_price,shadow_price_basis,shadow_price_source_sha256
605058.SH,澳弘电子,元件,2→3,10,0.13698310815312134,0.976938708246551,0.3445695669096965,0.3366233475978324,1,1,1,1,58.6,D_CLOSE_CONSERVATIVE_CAP,bb2341057641388cbd05c50075aff4e8e05ed19f3d1d9a2592ca2596ade44e50
603636.SH,南威软件,IT服务Ⅱ,3→4,7,0.42425601321344864,0.941315310143642,0.354484404929564,0.33368159756735694,2,2,1,2,8.81,D_CLOSE_CONSERVATIVE_CAP,bb2341057641388cbd05c50075aff4e8e05ed19f3d1d9a2592ca2596ade44e50
600418.SH,江淮汽车,商用车,2→3,9,0.20999536200274044,0.9755446112414801,0.3160372491293459,0.3083084353397145,3,3,0,,23.45,D_CLOSE_CONSERVATIVE_CAP,bb2341057641388cbd05c50075aff4e8e05ed19f3d1d9a2592ca2596ade44e50
600503.SH,华丽家族,房地产开发,3→4,5,0.4459779959368211,0.9616790908719146,0.31355949144329043,0.30154360666544344,4,4,0,,2.94,D_CLOSE_CONSERVATIVE_CAP,bb2341057641388cbd05c50075aff4e8e05ed19f3d1d9a2592ca2596ade44e50
000560.SZ,我爱我家,房地产服务,3→4,6,0.4390862324188059,0.9711811567324652,0.30569692352362976,0.2968870917972347,5,5,0,,3.86,D_CLOSE_CONSERVATIVE_CAP,bb2341057641388cbd05c50075aff4e8e05ed19f3d1d9a2592ca2596ade44e50
002614.SZ,奥佳华,其他家电,3→4,8,0.339778071913359,0.9743201208705832,0.2964761451688271,0.28886267359613615,6,6,0,,7.57,D_CLOSE_CONSERVATIVE_CAP,bb2341057641388cbd05c50075aff4e8e05ed19f3d1d9a2592ca2596ade44e50
600743.SH,华远控股,房地产服务,3→4,4,0.4795804707692192,0.9612608132846728,0.30034980482831886,0.2887144976591625,7,7,0,,2.82,D_CLOSE_CONSERVATIVE_CAP,bb2341057641388cbd05c50075aff4e8e05ed19f3d1d9a2592ca2596ade44e50
002238.SZ,天威视讯,电视广播,2→3,3,0.5828179798962805,0.8989448629781219,0.2575317254103143,0.23150682161149433,8,8,0,,7.66,D_CLOSE_CONSERVATIVE_CAP,bb2341057641388cbd05c50075aff4e8e05ed19f3d1d9a2592ca2596ade44e50
001234.SZ,泰慕士,服装家纺,3→4,2,0.6034374904056092,0.8048720347255344,0.2818366895443393,0.22684246977386113,9,9,0,,32.18,D_CLOSE_CONSERVATIVE_CAP,bb2341057641388cbd05c50075aff4e8e05ed19f3d1d9a2592ca2596ade44e50
600825.SH,新华传媒,出版,3→4,1,0.6726743895264402,0.6066306079348616,0.35017708180308504,0.21242813601906124,10,10,0,,7.06,D_CLOSE_CONSERVATIVE_CAP,bb2341057641388cbd05c50075aff4e8e05ed19f3d1d9a2592ca2596ade44e50
