ts_code,name,industry,stage_transition,promotion_rank,predicted_promotion_probability,research_fill_proxy_score,research_conditional_profit_score,research_joint_proxy_score,source_executable_profit_research_rank,internal_shadow_order,internal_shadow_selected,shadow_slot,shadow_max_price,shadow_price_basis,shadow_price_source_sha256
002579.SZ,中京电子,元件,2→3,10,0.32677817488210814,0.9671269133916801,0.41097602510924186,0.3974659746418827,1,1,1,1,17.06,D_CLOSE_CONSERVATIVE_CAP,3526bde4387df3219c08d8c5b9c488c949a7a7bdc95c3c256f20aec9927daf80
002172.SZ,澳洋健康,医疗服务,2→3,9,0.33588221987164696,0.9460820345454206,0.4154449645737411,0.3930450173255752,2,2,1,2,5.09,D_CLOSE_CONSERVATIVE_CAP,3526bde4387df3219c08d8c5b9c488c949a7a7bdc95c3c256f20aec9927daf80
000759.SZ,中百集团,一般零售,2→3,1,0.5471463835292517,0.9094579250934096,0.4021559154426729,0.36574388442253397,3,3,0,,7.7,D_CLOSE_CONSERVATIVE_CAP,3526bde4387df3219c08d8c5b9c488c949a7a7bdc95c3c256f20aec9927daf80
002702.SZ,海欣食品,食品加工,3→4,6,0.46946995228948185,0.9602815689988113,0.37827115615376433,0.3632468193383312,4,4,0,,6.79,D_CLOSE_CONSERVATIVE_CAP,3526bde4387df3219c08d8c5b9c488c949a7a7bdc95c3c256f20aec9927daf80
002909.SZ,集泰股份,化学制品,2→3,8,0.3431058713038031,0.9514190485784376,0.3662819875946494,0.34848766014872046,5,5,0,,8.72,D_CLOSE_CONSERVATIVE_CAP,3526bde4387df3219c08d8c5b9c488c949a7a7bdc95c3c256f20aec9927daf80
600354.SH,敦煌种业,种植业,3→4,2,0.5194451903219616,0.9409738125444447,0.33279067130211176,0.31314730675437324,6,6,0,,10.48,D_CLOSE_CONSERVATIVE_CAP,3526bde4387df3219c08d8c5b9c488c949a7a7bdc95c3c256f20aec9927daf80
000978.SZ,桂林旅游,旅游及景,2→3,4,0.5092665618762472,0.8469178653645061,0.32612646056915273,0.2762023258241086,7,7,0,,8.01,D_CLOSE_CONSERVATIVE_CAP,3526bde4387df3219c08d8c5b9c488c949a7a7bdc95c3c256f20aec9927daf80
601949.SH,中国出版,出版,3→4,5,0.506462012169593,0.8491167825793302,0.3012191675958153,0.2557702504401827,8,8,0,,7.05,D_CLOSE_CONSERVATIVE_CAP,3526bde4387df3219c08d8c5b9c488c949a7a7bdc95c3c256f20aec9927daf80
603042.SH,华脉科技,通信设备,2→3,3,0.5140577238660948,0.5511792416524861,0.41284640284894125,0.22755236724123623,9,9,0,,16.97,D_CLOSE_CONSERVATIVE_CAP,3526bde4387df3219c08d8c5b9c488c949a7a7bdc95c3c256f20aec9927daf80
603999.SH,读者传媒,出版,2→3,7,0.4662191152776552,0.6944283255444798,0.3245970740312798,0.22540940259617917,10,10,0,,7.29,D_CLOSE_CONSERVATIVE_CAP,3526bde4387df3219c08d8c5b9c488c949a7a7bdc95c3c256f20aec9927daf80
