ts_code,name,industry,stage_transition,promotion_rank,predicted_promotion_probability,research_fill_proxy_score,research_conditional_profit_score,research_joint_proxy_score,source_executable_profit_research_rank,internal_shadow_order,internal_shadow_selected,shadow_slot,shadow_max_price,shadow_price_basis,shadow_price_source_sha256
000930.SZ,中粮科技,农产品加,2→3,8,0.4506397979432294,0.9400124407810646,0.4651429642437907,0.43724017313094515,1,1,1,1,6.41,D_CLOSE_CONSERVATIVE_CAP,ca8035b34079da9e0d6a3907792905536e618657586423de3a81764ff34aca20
000912.SZ,泸天化,农化制品,2→3,10,0.3580195695783028,0.950369771088124,0.4081807835589331,0.3879226778334744,2,2,1,2,5.2,D_CLOSE_CONSERVATIVE_CAP,ca8035b34079da9e0d6a3907792905536e618657586423de3a81764ff34aca20
000759.SZ,中百集团,一般零售,3→4,7,0.4804513354497643,0.9700062579128791,0.37507477753811,0.3638248813972477,3,3,0,,8.47,D_CLOSE_CONSERVATIVE_CAP,ca8035b34079da9e0d6a3907792905536e618657586423de3a81764ff34aca20
002790.SZ,瑞尔特,家居用品,2→3,4,0.5843557812468387,0.8355645323827775,0.4092905142216355,0.3419886371243074,4,4,0,,7.69,D_CLOSE_CONSERVATIVE_CAP,ca8035b34079da9e0d6a3907792905536e618657586423de3a81764ff34aca20
000978.SZ,桂林旅游,旅游及景,3→4,6,0.49043330402522606,0.969169276506876,0.31794196809602193,0.3081395871907938,5,5,0,,8.81,D_CLOSE_CONSERVATIVE_CAP,ca8035b34079da9e0d6a3907792905536e618657586423de3a81764ff34aca20
600792.SH,云煤能源,焦炭Ⅱ,2→3,9,0.4132626749502519,0.9344096464250492,0.32365028908968685,0.30242195219365925,6,6,0,,4.92,D_CLOSE_CONSERVATIVE_CAP,ca8035b34079da9e0d6a3907792905536e618657586423de3a81764ff34aca20
000523.SZ,红棉股份,综合Ⅱ,2→3,1,0.7133372528777794,0.7811716518328171,0.3576726625998975,0.2794037446586038,7,7,0,,4.36,D_CLOSE_CONSERVATIVE_CAP,ca8035b34079da9e0d6a3907792905536e618657586423de3a81764ff34aca20
002295.SZ,精艺股份,工业金属,2→3,3,0.6284551834833919,0.6752998113862717,0.40938140230905773,0.27645518376435413,8,8,0,,11.58,D_CLOSE_CONSERVATIVE_CAP,ca8035b34079da9e0d6a3907792905536e618657586423de3a81764ff34aca20
002470.SZ,金正大,农化制品,3→4,5,0.5782742435687263,0.7866993090850979,0.31080381277963165,0.24450914477475033,9,9,0,,2.78,D_CLOSE_CONSERVATIVE_CAP,ca8035b34079da9e0d6a3907792905536e618657586423de3a81764ff34aca20
603042.SH,华脉科技,通信设备,3→4,2,0.6762631258238974,0.5992293573325397,0.3579471811266483,0.21449245930551564,10,10,0,,18.67,D_CLOSE_CONSERVATIVE_CAP,ca8035b34079da9e0d6a3907792905536e618657586423de3a81764ff34aca20
