ts_code,name,industry,stage_transition,promotion_rank,predicted_promotion_probability,research_fill_proxy_score,research_conditional_profit_score,research_joint_proxy_score,source_executable_profit_research_rank,internal_shadow_order,internal_shadow_selected,shadow_slot,shadow_max_price,shadow_price_basis,shadow_price_source_sha256
601579.SH,会稽山,非白酒,2→3,7,0.23211535957964946,0.9676095404718684,0.4459034112187462,0.4314603948242096,1,1,1,1,28.33,D_CLOSE_CONSERVATIVE_CAP,b3600da4a1e5c1f67265371bd7c53de0035c04959c1ab088d3a61ace9e9bc275
002631.SZ,德尔未来,家居用品,2→3,6,0.2645259435269678,0.9509306946448509,0.43454267946437586,0.4132199720358937,2,2,1,2,11.23,D_CLOSE_CONSERVATIVE_CAP,b3600da4a1e5c1f67265371bd7c53de0035c04959c1ab088d3a61ace9e9bc275
603082.SH,北自科技,自动化设,2→3,8,0.17647303923588806,0.9708564497520585,0.36656727019776064,0.3558841985395015,3,3,0,,52.98,D_CLOSE_CONSERVATIVE_CAP,b3600da4a1e5c1f67265371bd7c53de0035c04959c1ab088d3a61ace9e9bc275
002491.SZ,通鼎互联,通信设备,2→3,9,0.15318051281689038,0.984304511069116,0.3382532167141486,0.3329441670953758,4,4,0,,24.45,D_CLOSE_CONSERVATIVE_CAP,b3600da4a1e5c1f67265371bd7c53de0035c04959c1ab088d3a61ace9e9bc275
002846.SZ,英联股份,包装印刷,2→3,4,0.3226779515009668,0.9548567358819084,0.29921287447148287,0.28570542865168336,5,5,0,,12.75,D_CLOSE_CONSERVATIVE_CAP,b3600da4a1e5c1f67265371bd7c53de0035c04959c1ab088d3a61ace9e9bc275
003026.SZ,中晶科技,半导体,2→3,3,0.39675690847337747,0.9601993454012787,0.2963584661511343,0.28456320520244616,6,6,0,,33.64,D_CLOSE_CONSERVATIVE_CAP,b3600da4a1e5c1f67265371bd7c53de0035c04959c1ab088d3a61ace9e9bc275
603248.SH,锡华科技,风电设备,2→3,5,0.27960864298713467,0.8907874198334346,0.3131262210141081,0.2789288984993511,7,7,0,,20.31,D_CLOSE_CONSERVATIVE_CAP,b3600da4a1e5c1f67265371bd7c53de0035c04959c1ab088d3a61ace9e9bc275
002584.SZ,西陇科学,电子化学,2→3,1,0.44550817777819735,0.9068020117451269,0.2883597065991232,0.26148516205031946,8,8,0,,9.55,D_CLOSE_CONSERVATIVE_CAP,b3600da4a1e5c1f67265371bd7c53de0035c04959c1ab088d3a61ace9e9bc275
001216.SZ,华瓷股份,家居用品,2→3,2,0.4416781065188656,0.7971294459005942,0.29465918968550503,0.23488151660352471,9,9,0,,18.07,D_CLOSE_CONSERVATIVE_CAP,b3600da4a1e5c1f67265371bd7c53de0035c04959c1ab088d3a61ace9e9bc275
