ts_code,name,industry,stage_transition,promotion_rank,predicted_promotion_probability,research_fill_proxy_score,research_conditional_profit_score,research_joint_proxy_score,source_executable_profit_research_rank,internal_shadow_order,internal_shadow_selected,shadow_slot,shadow_max_price,shadow_price_basis,shadow_price_source_sha256
002303.SZ,美盈森,包装印刷,2→3,7,0.42936592176831717,0.9586452203778504,0.34474414820641064,0.33048732993130886,1,1,1,1,6.9,D_CLOSE_CONSERVATIVE_CAP,1ecfdf1949f6dc82887de3c6ab3854a72ab871e58b7ef20082a78d1184b57c07
002259.SZ,升达林业,燃气Ⅱ,2→3,10,0.3772314070015199,0.9216346687650152,0.2937463532828579,0.2707268230087779,2,2,1,2,4.97,D_CLOSE_CONSERVATIVE_CAP,1ecfdf1949f6dc82887de3c6ab3854a72ab871e58b7ef20082a78d1184b57c07
001234.SZ,泰慕士,服装家纺,2→3,9,0.379367786057339,0.9366103925353638,0.26980150346824616,0.2526988920700254,3,3,0,,29.25,D_CLOSE_CONSERVATIVE_CAP,1ecfdf1949f6dc82887de3c6ab3854a72ab871e58b7ef20082a78d1184b57c07
000607.SZ,华媒控股,广告营销,2→3,3,0.5800801217504955,0.7933435909318921,0.3151620892525414,0.2500318236132087,4,4,0,,4.98,D_CLOSE_CONSERVATIVE_CAP,1ecfdf1949f6dc82887de3c6ab3854a72ab871e58b7ef20082a78d1184b57c07
000910.SZ,大亚圣象,家居用品,3→4,6,0.49485778995262775,0.9623633676565432,0.25476971208568,0.2451810380996629,5,5,0,,6.89,D_CLOSE_CONSERVATIVE_CAP,1ecfdf1949f6dc82887de3c6ab3854a72ab871e58b7ef20082a78d1184b57c07
603636.SH,南威软件,IT服务Ⅱ,2→3,8,0.4097852893528674,0.7867257910513815,0.29793906456555236,0.2343963462554428,6,6,0,,8.01,D_CLOSE_CONSERVATIVE_CAP,1ecfdf1949f6dc82887de3c6ab3854a72ab871e58b7ef20082a78d1184b57c07
002614.SZ,奥佳华,其他家电,2→3,5,0.5420735420794046,0.8506326100724589,0.2655201078900267,0.22586006240121434,7,7,0,,6.88,D_CLOSE_CONSERVATIVE_CAP,1ecfdf1949f6dc82887de3c6ab3854a72ab871e58b7ef20082a78d1184b57c07
600743.SH,华远控股,房地产服务,2→3,4,0.5695525514000621,0.7208895611811423,0.2892739774440972,0.2085345906607989,8,8,0,,2.56,D_CLOSE_CONSERVATIVE_CAP,1ecfdf1949f6dc82887de3c6ab3854a72ab871e58b7ef20082a78d1184b57c07
601811.SH,新华文轩,出版,3→4,1,0.6934839264810871,0.7360411685424025,0.22494643954613008,0.1655698402229865,9,9,0,,16.82,D_CLOSE_CONSERVATIVE_CAP,1ecfdf1949f6dc82887de3c6ab3854a72ab871e58b7ef20082a78d1184b57c07
600825.SH,新华传媒,出版,2→3,2,0.5943235076031175,0.5225480183468824,0.2773080840260211,0.14490678977936805,10,10,0,,6.42,D_CLOSE_CONSERVATIVE_CAP,1ecfdf1949f6dc82887de3c6ab3854a72ab871e58b7ef20082a78d1184b57c07
