ts_code,name,industry,stage_transition,promotion_rank,predicted_promotion_probability,research_fill_proxy_score,research_conditional_profit_score,research_joint_proxy_score,source_executable_profit_research_rank,internal_shadow_order,internal_shadow_selected,shadow_slot,shadow_max_price,shadow_price_basis,shadow_price_source_sha256
000823.SZ,超声电子,元件,2→3,5,0.26713516432158246,0.9865453804392117,0.3444139674250431,0.3397800085219174,1,1,1,1,20.57,D_CLOSE_CONSERVATIVE_CAP,0e65485eb5cac60a9f43e634db55ce461d78d58e1e61a2b7edba1a5973da156a
600876.SH,凯盛新能,玻璃玻纤,2→3,6,0.25689966685851123,0.92701548131002,0.3650155699741592,0.33837508428524643,2,2,1,2,8.7,D_CLOSE_CONSERVATIVE_CAP,0e65485eb5cac60a9f43e634db55ce461d78d58e1e61a2b7edba1a5973da156a
000993.SZ,闽东电力,电力,3→4,3,0.4644032692263245,0.9575389018014732,0.35125356199603086,0.33633895000753505,3,3,0,,13.88,D_CLOSE_CONSERVATIVE_CAP,0e65485eb5cac60a9f43e634db55ce461d78d58e1e61a2b7edba1a5973da156a
002201.SZ,九鼎新材,玻璃玻纤,2→3,4,0.35950470983467386,0.9656939475492528,0.3439418800252939,0.3321425918491376,4,4,0,,11.09,D_CLOSE_CONSERVATIVE_CAP,0e65485eb5cac60a9f43e634db55ce461d78d58e1e61a2b7edba1a5973da156a
603421.SH,鼎信通讯,通信设备,3→4,1,0.553893922342828,0.9556437220428464,0.3377475094805339,0.32276628707067895,5,5,0,,8.02,D_CLOSE_CONSERVATIVE_CAP,0e65485eb5cac60a9f43e634db55ce461d78d58e1e61a2b7edba1a5973da156a
002912.SZ,中新赛克,计算机设,2→3,2,0.47616711976708476,0.5897834934024373,0.37069528277676717,0.2186299588638861,6,6,0,,23.51,D_CLOSE_CONSERVATIVE_CAP,0e65485eb5cac60a9f43e634db55ce461d78d58e1e61a2b7edba1a5973da156a
