ts_code,name,industry,stage_transition,promotion_rank,predicted_promotion_probability,executable_profit_research_rank,estimated_executable_profit_probability,research_joint_proxy_score,research_fill_proxy_score,research_conditional_profit_score,rank_tied,rank_group_size
002579.SZ,中京电子,元件,2→3,10,0.32677817488210814,1,0.3974659746418827,0.3974659746418827,0.9671269133916801,0.41097602510924186,False,1
002172.SZ,澳洋健康,医疗服务,2→3,9,0.33588221987164696,2,0.3930450173255752,0.3930450173255752,0.9460820345454206,0.4154449645737411,False,1
000759.SZ,中百集团,一般零售,2→3,1,0.5471463835292517,3,0.36574388442253397,0.36574388442253397,0.9094579250934096,0.4021559154426729,False,1
002702.SZ,海欣食品,食品加工,3→4,6,0.46946995228948185,4,0.3632468193383312,0.3632468193383312,0.9602815689988113,0.37827115615376433,False,1
002909.SZ,集泰股份,化学制品,2→3,8,0.3431058713038031,5,0.34848766014872046,0.34848766014872046,0.9514190485784376,0.3662819875946494,False,1
600354.SH,敦煌种业,种植业,3→4,2,0.5194451903219616,6,0.31314730675437324,0.31314730675437324,0.9409738125444447,0.33279067130211176,False,1
000978.SZ,桂林旅游,旅游及景,2→3,4,0.5092665618762472,7,0.2762023258241086,0.2762023258241086,0.8469178653645061,0.32612646056915273,False,1
601949.SH,中国出版,出版,3→4,5,0.506462012169593,8,0.2557702504401827,0.2557702504401827,0.8491167825793302,0.3012191675958153,False,1
603042.SH,华脉科技,通信设备,2→3,3,0.5140577238660948,9,0.22755236724123623,0.22755236724123623,0.5511792416524861,0.41284640284894125,False,1
603999.SH,读者传媒,出版,2→3,7,0.4662191152776552,10,0.22540940259617917,0.22540940259617917,0.6944283255444798,0.3245970740312798,False,1
