ts_code,name,industry,stage_transition,promotion_rank,predicted_promotion_probability,executable_profit_research_rank,estimated_executable_profit_probability,research_joint_proxy_score,research_fill_proxy_score,research_conditional_profit_score,rank_tied,rank_group_size
000823.SZ,超声电子,元件,2→3,5,0.26713516432158246,1,0.3397800085219174,0.3397800085219174,0.9865453804392117,0.3444139674250431,False,1
600876.SH,凯盛新能,玻璃玻纤,2→3,6,0.25689966685851123,2,0.33837508428524643,0.33837508428524643,0.92701548131002,0.3650155699741592,False,1
000993.SZ,闽东电力,电力,3→4,3,0.4644032692263245,3,0.33633895000753505,0.33633895000753505,0.9575389018014732,0.35125356199603086,False,1
002201.SZ,九鼎新材,玻璃玻纤,2→3,4,0.35950470983467386,4,0.3321425918491376,0.3321425918491376,0.9656939475492528,0.3439418800252939,False,1
603421.SH,鼎信通讯,通信设备,3→4,1,0.553893922342828,5,0.32276628707067895,0.32276628707067895,0.9556437220428464,0.3377475094805339,False,1
002912.SZ,中新赛克,计算机设,2→3,2,0.47616711976708476,6,0.2186299588638861,0.2186299588638861,0.5897834934024373,0.37069528277676717,False,1
