ts_code,name,industry,stage_transition,promotion_rank,predicted_promotion_probability,executable_profit_research_rank,estimated_executable_profit_probability,research_joint_proxy_score,research_fill_proxy_score,research_conditional_profit_score,rank_tied,rank_group_size
002119.SZ,康强电子,半导体,2→3,7,0.33822069178739234,1,0.3760483485502264,0.3760483485502264,0.9755519708725047,0.38547238873793666,False,1
002909.SZ,集泰股份,化学制品,2→3,2,0.46920922737444243,2,0.34940602595185694,0.34940602595185694,0.9690327904137696,0.360571932558302,False,1
600843.SH,上工申贝,专用设备,2→3,4,0.3958968798054004,3,0.34208735162249454,0.34208735162249454,0.9015482128245363,0.3794443233942423,False,1
600802.SH,福建水泥,水泥,2→3,5,0.39055620614060915,4,0.3389377832765213,0.3389377832765213,0.9605868400677878,0.3528444999856575,False,1
603396.SH,金辰股份,光伏设备,2→3,8,0.2939825933888232,5,0.31983206786825763,0.31983206786825763,0.957831082483227,0.33391280959381303,False,1
002819.SZ,东方中科,通用设备,2→3,9,0.26833909446204,6,0.31796433771212995,0.31796433771212995,0.9683866230721345,0.32834441341559606,False,1
002238.SZ,天威视讯,电视广播,3→4,3,0.41438234008816927,7,0.2876892942855265,0.2876892942855265,0.978053099109509,0.2941448624286962,False,1
603949.SH,雪龙集团,汽车零部件,2→3,6,0.37214577733642945,8,0.28696333190961487,0.28696333190961487,0.8733187931602321,0.32858943853847,False,1
000850.SZ,华茂股份,纺织制造,2→3,1,0.5931636414994466,9,0.23086622103729929,0.23086622103729929,0.8005583990346221,0.28838148636713623,False,1
