ts_code,name,industry,stage_transition,promotion_rank,predicted_promotion_probability,executable_profit_research_rank,estimated_executable_profit_probability,research_joint_proxy_score,research_fill_proxy_score,research_conditional_profit_score,rank_tied,rank_group_size
002703.SZ,浙江世宝,汽车零部件,2→3,10,0.33026458859791363,1,0.3803718455832537,0.3803718455832537,0.9794879244797065,0.3883374527412405,False,1
002949.SZ,华阳国际,工程咨询,2→3,6,0.4249623875787022,2,0.3517266680873904,0.3517266680873904,0.9570262601425175,0.36752039388659236,False,1
002418.SZ,康盛股份,家电零部,2→3,4,0.5563753299411514,3,0.31699515919323606,0.31699515919323606,0.9595664769085305,0.330352473561301,False,1
000428.SZ,华天酒店,酒店餐饮,2→3,5,0.4714117193964063,4,0.31161306845514564,0.31161306845514564,0.9562011766608044,0.32588651432467847,False,1
600103.SH,青山纸业,造纸,2→3,8,0.3650390318231475,5,0.3097565933850352,0.3097565933850352,0.9560523839846955,0.32399541967984236,False,1
600371.SH,万向德农,种植业,2→3,9,0.3484312708832924,6,0.30614552247065485,0.30614552247065485,0.9451161089613579,0.3239237164279166,False,1
002742.SZ,冀衡医药,化学制药,2→3,3,0.590658897274388,7,0.29679004212918036,0.29679004212918036,0.8733794253478314,0.33981799148861447,False,1
002094.SZ,青岛金王,家居用品,2→3,7,0.4229029949585143,8,0.29605145652237774,0.29605145652237774,0.9563132242550333,0.30957582621844576,False,1
002855.SZ,捷荣技术,消费电子,2→3,2,0.713784503296229,9,0.1677156601809422,0.1677156601809422,0.5996392032014398,0.2796942883078988,False,1
002084.SZ,海鸥住工,家居用品,3→4,1,0.7407155861258753,10,0.12432619492770675,0.12432619492770675,0.4716497380949569,0.2635985666606609,False,1
