ts_code,name,industry,stage_transition,promotion_rank,predicted_promotion_probability,executable_profit_research_rank,estimated_executable_profit_probability,research_joint_proxy_score,research_fill_proxy_score,research_conditional_profit_score,rank_tied,rank_group_size
600371.SH,万向德农,种植业,2→3,6,0.3376529060109287,1,0.3700425703608728,0.3700425703608728,0.9753325551859735,0.3794014343039274,False,1
003026.SZ,中晶科技,半导体,3→4,4,0.4202877843086478,2,0.2746984105881796,0.2746984105881796,0.9727428952561986,0.28239569975561757,False,1
603248.SH,锡华科技,风电设备,3→4,2,0.48759580430911775,3,0.2696609382339139,0.2696609382339139,0.9619277981573129,0.2803338657542505,False,1
002655.SZ,共达电声,消费电子,2→3,8,0.23585011603090608,4,0.2649271681741843,0.2649271681741843,0.9784624556275175,0.2707586444942116,False,1
002285.SZ,世联行,房地产服务,2→3,3,0.4841651699603863,5,0.2626010853385666,0.2626010853385666,0.9592797149785651,0.27374818964501335,False,1
003001.SZ,中岩大地,专业工程,2→3,7,0.2614424854596793,6,0.26161479158266904,0.26161479158266904,0.9775776863593454,0.2676153468242141,False,1
001216.SZ,华瓷股份,家居用品,3→4,5,0.4018596910847638,7,0.24588404963909138,0.24588404963909138,0.9825944060612645,0.25023961883186274,False,1
603230.SH,内蒙新华,出版,2→3,1,0.5846729452152961,8,0.18827005618433276,0.18827005618433276,0.58187643371455,0.32355676441897635,False,1
