ts_code,name,industry,stage_transition,promotion_rank,predicted_promotion_probability,executable_profit_research_rank,estimated_executable_profit_probability,research_joint_proxy_score,research_fill_proxy_score,research_conditional_profit_score,rank_tied,rank_group_size
600121.SH,郑州煤电,煤炭开采,2→3,10,0.35531447809119304,1,0.2919150519779882,0.2919150519779882,0.9698972472059251,0.30097523507663887,False,1
002909.SZ,集泰股份,化学制品,2→3,5,0.5076192678868655,2,0.27491728148154,0.27491728148154,0.9633785032322353,0.28536788039089916,False,1
000892.SZ,欢瑞世纪,影视院线,2→3,2,0.5948396866273256,3,0.26382086898501206,0.26382086898501206,0.8595980839275575,0.3069118858194727,False,1
600892.SH,大晟文化,游戏Ⅱ,2→3,1,0.616708746160689,4,0.2537378321129369,0.2537378321129369,0.6735880608141832,0.376695857415046,False,1
603721.SH,中广天择,影视院线,2→3,6,0.47134619451272985,5,0.2495717012891849,0.2495717012891849,0.7718269326817451,0.3233518949928808,False,1
002679.SZ,福建金森,林业Ⅱ,3→4,3,0.5657990199575954,6,0.23598899558659214,0.23598899558659214,0.7864961145019831,0.3000510634893888,False,1
000560.SZ,我爱我家,房地产服务,3→4,8,0.43761325855958283,7,0.23327920998408666,0.23327920998408666,0.9766662023754965,0.23885254697735345,False,1
600551.SH,时代出版,出版,3→4,9,0.40745321344697244,8,0.2203398673564395,0.2203398673564395,0.9676027479969806,0.22771728151099369,False,1
003005.SZ,竞业达,IT服务Ⅱ,3→4,4,0.5119981144062558,9,0.20134077445145665,0.20134077445145665,0.7041754401651384,0.2859241645863701,False,1
601086.SH,国芳集团,一般零售,3→4,7,0.4685481812865179,10,0.19474282580842434,0.19474282580842434,0.951374716116709,0.20469623851611213,False,1
