ts_code,name,industry,stage_transition,promotion_rank,predicted_promotion_probability,executable_profit_research_rank,estimated_executable_profit_probability,research_joint_proxy_score,research_fill_proxy_score,research_conditional_profit_score,rank_tied,rank_group_size
603618.SH,杭电股份,电网设备,2→3,10,0.3075153539621327,1,0.31940338549333913,0.31940338549333913,0.9716749624372184,0.3287142283590294,False,1
000890.SZ,法尔胜,环保设备,2→3,7,0.4735803597112844,2,0.2691589132050907,0.2691589132050907,0.9575565682734986,0.28108930806081966,False,1
002072.SZ,凯瑞德,贸易Ⅱ,2→3,9,0.3895710429780851,3,0.25627612028954094,0.25627612028954094,0.9587604933630259,0.26729941634391513,False,1
000712.SZ,锦龙股份,证券Ⅱ,2→3,4,0.6464107557176013,4,0.2562613523117107,0.2562613523117107,0.876512806391734,0.2923646413868613,False,1
002418.SZ,康盛股份,家电零部,3→4,8,0.42997650617588107,5,0.23530085333861286,0.23530085333861286,0.9854510343330667,0.23877477940632505,False,1
600371.SH,万向德农,种植业,3→4,5,0.5159412350177223,6,0.21953605158350123,0.21953605158350123,0.9405775837513689,0.23340557480427165,False,1
002742.SZ,冀衡医药,化学制药,3→4,3,0.67024892695141,7,0.20680010115487285,0.20680010115487285,0.8358888101710772,0.24740144698497413,False,1
600103.SH,青山纸业,造纸,3→4,6,0.473836152997421,8,0.19989360402206796,0.19989360402206796,0.9567187341826358,0.20893664656085711,False,1
002942.SZ,新农股份,农化制品,2→3,2,0.6768365919833864,9,0.14712033078682735,0.14712033078682735,0.5846970658176291,0.2516180418677099,False,1
002855.SZ,捷荣技术,消费电子,3→4,1,0.7735495446515372,10,0.14361006167553217,0.14361006167553217,0.5413291394224972,0.26529157811223464,False,1
