ts_code,name,industry,stage_transition,promotion_rank,predicted_promotion_probability,executable_profit_research_rank,estimated_executable_profit_probability,research_joint_proxy_score,research_fill_proxy_score,research_conditional_profit_score,rank_tied,rank_group_size
601579.SH,会稽山,非白酒,2→3,7,0.23211535957964946,1,0.4314603948242096,0.4314603948242096,0.9676095404718684,0.4459034112187462,False,1
002631.SZ,德尔未来,家居用品,2→3,6,0.2645259435269678,2,0.4132199720358937,0.4132199720358937,0.9509306946448509,0.43454267946437586,False,1
603082.SH,北自科技,自动化设,2→3,8,0.17647303923588806,3,0.3558841985395015,0.3558841985395015,0.9708564497520585,0.36656727019776064,False,1
002491.SZ,通鼎互联,通信设备,2→3,9,0.15318051281689038,4,0.3329441670953758,0.3329441670953758,0.984304511069116,0.3382532167141486,False,1
002846.SZ,英联股份,包装印刷,2→3,4,0.3226779515009668,5,0.28570542865168336,0.28570542865168336,0.9548567358819084,0.29921287447148287,False,1
003026.SZ,中晶科技,半导体,2→3,3,0.39675690847337747,6,0.28456320520244616,0.28456320520244616,0.9601993454012787,0.2963584661511343,False,1
603248.SH,锡华科技,风电设备,2→3,5,0.27960864298713467,7,0.2789288984993511,0.2789288984993511,0.8907874198334346,0.3131262210141081,False,1
002584.SZ,西陇科学,电子化学,2→3,1,0.44550817777819735,8,0.26148516205031946,0.26148516205031946,0.9068020117451269,0.2883597065991232,False,1
001216.SZ,华瓷股份,家居用品,2→3,2,0.4416781065188656,9,0.23488151660352471,0.23488151660352471,0.7971294459005942,0.29465918968550503,False,1
