ts_code,name,industry,stage_transition,promotion_rank,predicted_promotion_probability,executable_profit_research_rank,estimated_executable_profit_probability,research_joint_proxy_score,research_fill_proxy_score,research_conditional_profit_score,rank_tied,rank_group_size
600354.SH,敦煌种业,种植业,2→3,8,0.476840504773589,1,0.38007931747348817,0.38007931747348817,0.9334354238329579,0.40718330135015846,False,1
002564.SZ,天沃科技,专用设备,2→3,10,0.4054840958594313,2,0.35980330778195935,0.35980330778195935,0.9384011378639145,0.3834216448212976,False,1
000735.SZ,罗 牛 山,养殖业,2→3,7,0.4835910877103446,3,0.3449701096243201,0.3449701096243201,0.9188166494985085,0.375450433786333,False,1
002403.SZ,爱仕达,小家电,3→4,3,0.571421147495161,4,0.3338459034030884,0.3338459034030884,0.9700042995749077,0.3441695088871175,False,1
000428.SZ,华天酒店,酒店餐饮,2→3,6,0.4895885410450814,5,0.3216624805555115,0.3216624805555115,0.9580470827058564,0.33574809251234855,False,1
000798.SZ,中水渔业,渔业,2→3,9,0.4157293691410183,6,0.3091876521559907,0.3091876521559907,0.8775911368940006,0.3523140095173224,False,1
001366.SZ,播恩集团,饲料,2→3,4,0.5222910246444709,7,0.3069343380165201,0.3069343380165201,0.8629008258098301,0.35570059598501724,False,1
600865.SH,百大集团,一般零售,3→4,5,0.5189553714994732,8,0.306016026822615,0.306016026822615,0.8770436326332659,0.34891767688207476,False,1
002702.SZ,海欣食品,食品加工,2→3,2,0.6381365579578274,9,0.26053300119415534,0.26053300119415534,0.7824841661998685,0.3329562596255882,False,1
600108.SH,亚盛集团,种植业,3→4,1,0.7148753690214822,10,0.21309716289460956,0.21309716289460956,0.6380785759353892,0.33396696101607937,False,1
