ts_code,name,industry,stage_transition,promotion_rank,predicted_promotion_probability,executable_profit_research_rank,estimated_executable_profit_probability,research_joint_proxy_score,research_fill_proxy_score,research_conditional_profit_score,rank_tied,rank_group_size
002104.SZ,恒宝股份,通信设备,2→3,7,0.26258701261771633,1,0.27531269438714545,0.27531269438714545,0.9825479777612446,0.2802027998820485,False,1
601566.SH,九牧王,服装家纺,2→3,8,0.2581675641830081,2,0.2708132736170021,0.2708132736170021,0.9638378672856108,0.28097388866830325,False,1
600828.SH,茂业商业,一般零售,2→3,6,0.3898996738318571,3,0.26197450859244265,0.26197450859244265,0.9433326029578823,0.2777117082257139,False,1
002909.SZ,集泰股份,化学制品,3→4,3,0.5252967679304702,4,0.24964780825520635,0.24964780825520635,0.8744320178364755,0.28549710344880364,False,1
600892.SH,大晟文化,游戏Ⅱ,3→4,1,0.6975100028985111,5,0.24456860265845481,0.24456860265845481,0.7661359531905554,0.31922350287824836,False,1
603207.SH,小方制药,化学制药,2→3,10,0.24184635115073805,6,0.24245624437699614,0.24245624437699614,0.9793062888267376,0.2475795847971853,False,1
000892.SZ,欢瑞世纪,影视院线,3→4,2,0.5516959206922414,7,0.24193862779004605,0.24193862779004605,0.8972781793626053,0.2696361433439858,False,1
000635.SZ,英 力 特,化学原料,2→3,4,0.5102736412515851,8,0.2306550157953198,0.2306550157953198,0.8814763960576949,0.2616689645087477,False,1
600830.SH,香溢融通,多元金融,2→3,9,0.2479378035626051,9,0.21747427157349414,0.21747427157349414,0.946462966269708,0.22977578555516537,False,1
605577.SH,龙版传媒,出版,3→4,5,0.4581972236857222,10,0.213352852805299,0.213352852805299,0.9593877124442435,0.22238439166761623,False,1
