prior_as_of_date,ts_code,five_year_stock_prior_rate,five_year_stock_prior_samples_log
20260630,000017.SZ,0.46666666666666667,2.3978952727983707
20250304,000710.SZ,0.38461538461538458,2.1972245773362196
20210906,000931.SZ,0.40000000000000002,0
20260330,002038.SZ,0.33333333333333331,0.69314718055994529
20260723,002412.SZ,0.2857142857142857,1.0986122886681098
20260618,002491.SZ,0.33333333333333331,2.0794415416798357
20260507,002903.SZ,0.42857142857142849,2.3025850929940459
20260209,603626.SH,0.53333333333333333,2.3978952727983707
20260129,603958.SH,0.55555555555555558,2.6390573296152584
