ts_code,name,industry,stage_transition,promotion_rank,legacy_profit_relative_rank,legacy_profit_raw_score,legacy_profit_relative_percentile,rank_tied,rank_group_size
000892.SZ,欢瑞世纪,影视院线,3→4,2,1,0.4565982479777878,1.0,False,1
002909.SZ,集泰股份,化学制品,3→4,3,2,0.4457436804250267,0.9,False,1
605577.SH,龙版传媒,出版,3→4,5,3,0.4217043309662073,0.8,False,1
600892.SH,大晟文化,游戏Ⅱ,3→4,1,4,0.4165704237489521,0.7,False,1
002104.SZ,恒宝股份,通信设备,2→3,7,5,0.3720031653498693,0.6,False,1
000635.SZ,英 力 特,化学原料,2→3,4,6,0.3596065088783783,0.5,False,1
600828.SH,茂业商业,一般零售,2→3,6,7,0.3434551638048721,0.4,False,1
603207.SH,小方制药,化学制药,2→3,10,8,0.34156329382470024,0.3,False,1
601566.SH,九牧王,服装家纺,2→3,8,9,0.33282841321523376,0.2,False,1
600830.SH,香溢融通,多元金融,2→3,9,10,0.3318028317026473,0.1,False,1
