ts_code,name,industry,stage_transition,promotion_rank,legacy_profit_relative_rank,legacy_profit_raw_score,legacy_profit_relative_percentile,rank_tied,rank_group_size
003040.SZ,楚天龙,通信设备,3→4,3,1,0.46607920877268233,1.0,False,1
600785.SH,新华百货,一般零售,3→4,4,2,0.42687556227516105,0.8333333333333334,False,1
002041.SZ,登海种业,种植业,2→3,5,3,0.36481942282686725,0.6666666666666666,False,1
600508.SH,上海能源,煤炭开采,2→3,6,4,0.33435252087803174,0.5,False,1
002084.SZ,海鸥住工,家居用品,2→3,1,5,0.3148071456682385,0.3333333333333333,False,1
002445.SZ,中南文化,通用设备,2→3,2,6,0.3054199014006699,0.16666666666666666,False,1
