ts_code,name,industry,stage_transition,promotion_rank,legacy_profit_relative_rank,legacy_profit_raw_score,legacy_profit_relative_percentile,rank_tied,rank_group_size
600865.SH,百大集团,一般零售,3→4,5,1,0.4473333524698623,1.0,False,1
002403.SZ,爱仕达,小家电,3→4,3,2,0.42675361946621915,0.9,False,1
600108.SH,亚盛集团,种植业,3→4,1,3,0.4131817565294761,0.8,False,1
600354.SH,敦煌种业,种植业,2→3,8,4,0.39813151380935563,0.7,False,1
000735.SZ,罗 牛 山,养殖业,2→3,7,5,0.3796642870488986,0.6,False,1
000428.SZ,华天酒店,酒店餐饮,2→3,6,6,0.37880767787680353,0.5,False,1
000798.SZ,中水渔业,渔业,2→3,9,7,0.36668284487998437,0.4,False,1
002564.SZ,天沃科技,专用设备,2→3,10,8,0.36339538280076944,0.3,False,1
001366.SZ,播恩集团,饲料,2→3,4,9,0.35134731180711537,0.2,False,1
002702.SZ,海欣食品,食品加工,2→3,2,10,0.3178325831303228,0.1,False,1
