ts_code,name,industry,stage_transition,promotion_rank,legacy_profit_relative_rank,legacy_profit_raw_score,legacy_profit_relative_percentile,rank_tied,rank_group_size
002702.SZ,海欣食品,食品加工,3→4,6,1,0.44280402859299917,1.0,False,1
600354.SH,敦煌种业,种植业,3→4,2,2,0.429830008477284,0.9,False,1
601949.SH,中国出版,出版,3→4,5,3,0.41734502128750434,0.8,False,1
002909.SZ,集泰股份,化学制品,2→3,8,4,0.3773897643912575,0.7,False,1
000759.SZ,中百集团,一般零售,2→3,1,5,0.36442986009945144,0.6,False,1
002172.SZ,澳洋健康,医疗服务,2→3,9,6,0.36347143189126757,0.5,False,1
002579.SZ,中京电子,元件,2→3,10,7,0.35751808180974887,0.4,False,1
000978.SZ,桂林旅游,旅游及景,2→3,4,8,0.33007309423307674,0.3,False,1
603999.SH,读者传媒,出版,2→3,7,9,0.31981862053516635,0.2,False,1
603042.SH,华脉科技,通信设备,2→3,3,10,0.29014374752282185,0.1,False,1
