ts_code,name,industry,stage_transition,promotion_rank,legacy_profit_relative_rank,legacy_profit_raw_score,legacy_profit_relative_percentile,rank_tied,rank_group_size
002084.SZ,海鸥住工,家居用品,3→4,1,1,0.3985166376147206,1.0,False,1
600371.SH,万向德农,种植业,2→3,9,2,0.3938899208551549,0.9,False,1
002094.SZ,青岛金王,家居用品,2→3,7,3,0.3883749034916113,0.8,False,1
000428.SZ,华天酒店,酒店餐饮,2→3,5,4,0.3866432873946437,0.7,False,1
002949.SZ,华阳国际,工程咨询,2→3,6,5,0.38547696057088854,0.6,False,1
002703.SZ,浙江世宝,汽车零部件,2→3,10,6,0.38414215778348015,0.5,False,1
002418.SZ,康盛股份,家电零部,2→3,4,7,0.38395684401101565,0.4,False,1
600103.SH,青山纸业,造纸,2→3,8,8,0.3812134576014404,0.3,False,1
002742.SZ,冀衡医药,化学制药,2→3,3,9,0.3529296513271262,0.2,False,1
002855.SZ,捷荣技术,消费电子,2→3,2,10,0.3316410343716337,0.1,False,1
