ts_code,name,industry,stage_transition,promotion_rank,legacy_profit_relative_rank,legacy_profit_raw_score,legacy_profit_relative_percentile,rank_tied,rank_group_size
002679.SZ,福建金森,林业Ⅱ,3→4,3,1,0.4466659720349764,1.0,False,1
601086.SH,国芳集团,一般零售,3→4,7,2,0.42942604174786286,0.9,False,1
003005.SZ,竞业达,IT服务Ⅱ,3→4,4,3,0.42922141177084333,0.8,False,1
000560.SZ,我爱我家,房地产服务,3→4,8,4,0.4235762522040362,0.7,False,1
600551.SH,时代出版,出版,3→4,9,5,0.41053659676537646,0.6,False,1
600121.SH,郑州煤电,煤炭开采,2→3,10,6,0.36752669460903903,0.5,False,1
002909.SZ,集泰股份,化学制品,2→3,5,7,0.3659334056695889,0.4,False,1
600892.SH,大晟文化,游戏Ⅱ,2→3,1,8,0.3585561141814685,0.3,False,1
000892.SZ,欢瑞世纪,影视院线,2→3,2,9,0.35232134687989103,0.2,False,1
603721.SH,中广天择,影视院线,2→3,6,10,0.3458901863454796,0.1,False,1
