ts_code,name,industry,stage_transition,promotion_rank,legacy_profit_relative_rank,legacy_profit_raw_score,legacy_profit_relative_percentile,rank_tied,rank_group_size
002470.SZ,金正大,农化制品,3→4,5,1,0.45432380040082876,1.0,False,1
000978.SZ,桂林旅游,旅游及景,3→4,6,2,0.42810511642577137,0.9,False,1
000759.SZ,中百集团,一般零售,3→4,7,3,0.4264516110064117,0.8,False,1
000930.SZ,中粮科技,农产品加,2→3,8,4,0.3832015229017234,0.7,False,1
603042.SH,华脉科技,通信设备,3→4,2,5,0.37846703569817286,0.6,False,1
000912.SZ,泸天化,农化制品,2→3,10,6,0.37586784613923635,0.5,False,1
600792.SH,云煤能源,焦炭Ⅱ,2→3,9,7,0.3646373343212645,0.4,False,1
002295.SZ,精艺股份,工业金属,2→3,3,8,0.3636830536668953,0.3,False,1
000523.SZ,红棉股份,综合Ⅱ,2→3,1,9,0.3538415576852489,0.2,False,1
002790.SZ,瑞尔特,家居用品,2→3,4,10,0.34345471887818885,0.1,False,1
