ts_code,name,industry,stage_transition,promotion_rank,legacy_profit_relative_rank,legacy_profit_raw_score,legacy_profit_relative_percentile,rank_tied,rank_group_size
000910.SZ,大亚圣象,家居用品,3→4,6,1,0.43507819855090374,1.0,False,1
601811.SH,新华文轩,出版,3→4,1,2,0.38005294907805204,0.9,False,1
002259.SZ,升达林业,燃气Ⅱ,2→3,10,3,0.35685874097638887,0.8,False,1
002303.SZ,美盈森,包装印刷,2→3,7,4,0.35430343861683106,0.7,False,1
002614.SZ,奥佳华,其他家电,2→3,5,5,0.33761147151107196,0.6,False,1
603636.SH,南威软件,IT服务Ⅱ,2→3,8,6,0.3360109055005774,0.5,False,1
600743.SH,华远控股,房地产服务,2→3,4,7,0.33393714120376145,0.4,False,1
000607.SZ,华媒控股,广告营销,2→3,3,8,0.3307113913649569,0.3,False,1
001234.SZ,泰慕士,服装家纺,2→3,9,9,0.32314046216579906,0.2,False,1
600825.SH,新华传媒,出版,2→3,2,10,0.31777346270968476,0.1,False,1
