ts_code,name,industry,stage_transition,promotion_rank,legacy_profit_relative_rank,legacy_profit_raw_score,legacy_profit_relative_percentile,rank_tied,rank_group_size
603269.SH,海鸥股份,通用设备,3→4,7,1,0.42133157668794874,1.0,False,1
002886.SZ,沃特股份,塑料,3→4,9,2,0.4212231192712059,0.9,False,1
600227.SH,赤天化,农化制品,2→3,5,3,0.39386699607307124,0.8,False,1
600540.SH,新赛股份,种植业,3→4,2,4,0.39244723046000723,0.7,False,1
600691.SH,潞化科技,农化制品,2→3,8,5,0.37757660422817646,0.6,False,1
003005.SZ,竞业达,IT服务Ⅱ,2→3,6,6,0.37393539089936234,0.5,False,1
000011.SZ,深物业A,房地产开发,2→3,4,7,0.35881355517175667,0.4,False,1
000560.SZ,我爱我家,房地产服务,2→3,1,8,0.35528296186753555,0.3,False,1
600551.SH,时代出版,出版,2→3,10,9,0.3508587238940239,0.2,False,1
002679.SZ,福建金森,林业Ⅱ,2→3,3,10,0.33645083891060357,0.1,False,1
