ts_code,name,industry,stage_transition,promotion_rank,legacy_profit_relative_rank,legacy_profit_raw_score,legacy_profit_relative_percentile,rank_tied,rank_group_size
001216.SZ,华瓷股份,家居用品,3→4,5,1,0.4471623129302189,1.0,False,1
003026.SZ,中晶科技,半导体,3→4,4,2,0.44421553018564014,0.875,False,1
600371.SH,万向德农,种植业,2→3,6,3,0.43612268501452256,0.75,False,1
603248.SH,锡华科技,风电设备,3→4,2,4,0.43148271935492233,0.625,False,1
002285.SZ,世联行,房地产服务,2→3,3,5,0.3779358141104555,0.5,False,1
002655.SZ,共达电声,消费电子,2→3,8,6,0.36631395086232205,0.375,False,1
003001.SZ,中岩大地,专业工程,2→3,7,7,0.34995262400147514,0.25,False,1
603230.SH,内蒙新华,出版,2→3,1,8,0.31194405799892705,0.125,False,1
