ts_code,name,industry,stage_transition,promotion_rank,legacy_profit_relative_rank,legacy_profit_raw_score,legacy_profit_relative_percentile,rank_tied,rank_group_size
600876.SH,凯盛新能,玻璃玻纤,3→4,2,1,0.4244912776870749,1.0,False,1
000823.SZ,超声电子,元件,3→4,6,2,0.4148464404685693,0.9,False,1
603439.SH,三力制药,中药Ⅱ,2→3,10,3,0.40679332205737034,0.8,False,1
002912.SZ,中新赛克,计算机设,3→4,1,4,0.4012632869150418,0.7,False,1
002585.SZ,双星新材,塑料,2→3,7,5,0.37285172731285693,0.6,False,1
000980.SZ,众泰汽车,汽车零部件,2→3,5,6,0.3714472081345918,0.5,False,1
002560.SZ,通达股份,电网设备,2→3,4,7,0.3675651949060752,0.4,False,1
600088.SH,中视传媒,影视院线,2→3,9,8,0.36403012666596707,0.3,False,1
605058.SH,澳弘电子,元件,2→3,8,9,0.36306641534498724,0.2,False,1
605069.SH,正和生态,环境治理,2→3,3,10,0.32302903884607154,0.1,False,1
