ts_code,name,industry,stage_transition,promotion_rank,legacy_profit_relative_rank,legacy_profit_raw_score,legacy_profit_relative_percentile,rank_tied,rank_group_size
002614.SZ,奥佳华,其他家电,3→4,8,1,0.4895752920980011,1.0,False,1
000560.SZ,我爱我家,房地产服务,3→4,6,2,0.47082505138446984,0.9,False,1
001234.SZ,泰慕士,服装家纺,3→4,2,3,0.42953702227191176,0.8,False,1
600503.SH,华丽家族,房地产开发,3→4,5,4,0.4158173989058221,0.7,False,1
603636.SH,南威软件,IT服务Ⅱ,3→4,7,5,0.3926301802336786,0.6,False,1
600743.SH,华远控股,房地产服务,3→4,4,6,0.37816896543169154,0.5,False,1
605058.SH,澳弘电子,元件,2→3,10,7,0.369571078515802,0.4,False,1
600825.SH,新华传媒,出版,3→4,1,8,0.35871520378566807,0.3,False,1
002238.SZ,天威视讯,电视广播,2→3,3,9,0.34684948554315687,0.2,False,1
600418.SH,江淮汽车,商用车,2→3,9,10,0.32979645035856403,0.1,False,1
