ts_code,name,industry,stage_transition,promotion_rank,legacy_profit_relative_rank,legacy_profit_raw_score,legacy_profit_relative_percentile,rank_tied,rank_group_size
002238.SZ,天威视讯,电视广播,3→4,3,1,0.46815548098218684,1.0,False,1
600802.SH,福建水泥,水泥,2→3,5,2,0.4027311372494362,0.8888888888888888,False,1
002909.SZ,集泰股份,化学制品,2→3,2,3,0.4018368601147883,0.7777777777777778,False,1
002119.SZ,康强电子,半导体,2→3,7,4,0.3744730620281953,0.6666666666666666,False,1
600843.SH,上工申贝,专用设备,2→3,4,5,0.36800368675390677,0.5555555555555556,False,1
603396.SH,金辰股份,光伏设备,2→3,8,6,0.3636863867309631,0.4444444444444444,False,1
002819.SZ,东方中科,通用设备,2→3,9,7,0.35409260317352326,0.3333333333333333,False,1
000850.SZ,华茂股份,纺织制造,2→3,1,8,0.33722108118246596,0.2222222222222222,False,1
603949.SH,雪龙集团,汽车零部件,2→3,6,9,0.3208042213837731,0.1111111111111111,False,1
