ts_code,name,industry,stage_transition,promotion_rank,legacy_profit_relative_rank,legacy_profit_raw_score,legacy_profit_relative_percentile,rank_tied,rank_group_size
002453.SZ,华软科技,化学制品,3→4,3,1,0.45766993579911547,1.0,False,1
000504.SZ,南华生物,医疗服务,3→4,1,2,0.4559868723471361,0.9,False,1
600448.SH,华纺股份,纺织制造,3→4,9,3,0.43540794055592236,0.8,False,1
600630.SH,龙头股份,服装家纺,3→4,2,4,0.4225770801927902,0.7,False,1
000532.SZ,华金资本,多元金融,2→3,8,5,0.38129147373194167,0.6,False,1
600606.SH,绿地控股,房地产开发,2→3,7,6,0.36897143699130314,0.5,False,1
000910.SZ,大亚圣象,家居用品,2→3,4,7,0.36822365566688614,0.4,False,1
002589.SZ,瑞康医药,医药商业,2→3,6,8,0.3633779961127935,0.3,False,1
601123.SH,马矿股份,冶钢原料,2→3,10,9,0.348717024117903,0.2,False,1
001376.SZ,百通能源,电力,2→3,5,10,0.33318398851373254,0.1,False,1
