ts_code,name,industry,stage_transition,promotion_rank,legacy_profit_relative_rank,legacy_profit_raw_score,legacy_profit_relative_percentile,rank_tied,rank_group_size
000712.SZ,锦龙股份,证券Ⅱ,3→4,3,1,0.4680115676769046,1.0,False,1
002942.SZ,新农股份,农化制品,3→4,6,2,0.43224082581350454,0.9,False,1
600479.SH,千金药业,中药Ⅱ,3→4,7,3,0.43039858005035275,0.8,False,1
600162.SH,香江控股,房地产开发,2→3,8,4,0.3549932012149077,0.7,False,1
603011.SH,合锻智能,专用设备,2→3,10,5,0.35225930594337485,0.6,False,1
600540.SH,新赛股份,种植业,2→3,1,6,0.3464731808906565,0.5,False,1
600654.SH,中安科,软件开发,2→3,5,7,0.34423844729896247,0.4,False,1
002886.SZ,沃特股份,塑料,2→3,2,8,0.34142258620616917,0.3,False,1
603269.SH,海鸥股份,通用设备,2→3,9,9,0.3290430601408012,0.2,False,1
603900.SH,莱绅通灵,饰品,2→3,4,10,0.31877248760714644,0.1,False,1
