ts_code,trade_time,open,close,high,low,vol,amount
002377.SZ,2026-09-15 09:31:00,3.12,3.1,3.15,3.09,5210800.0,16250895.0
002377.SZ,2026-09-15 09:32:00,3.1,3.15,3.17,3.1,3409600.0,10677240.0
002377.SZ,2026-09-15 09:33:00,3.15,3.14,3.16,3.13,1897700.0,5971169.0
002377.SZ,2026-09-15 09:34:00,3.14,3.09,3.16,3.09,3816000.0,11928065.0
002377.SZ,2026-09-15 09:35:00,3.08,3.1,3.1,3.06,1920800.0,5921142.0
002377.SZ,2026-09-15 09:36:00,3.1,3.11,3.11,3.09,1720600.0,5328287.0
002377.SZ,2026-09-15 09:37:00,3.11,3.08,3.13,3.08,1678800.0,5220835.0
002377.SZ,2026-09-15 09:38:00,3.08,3.09,3.09,3.07,1202700.0,3706921.0
002377.SZ,2026-09-15 09:39:00,3.08,3.08,3.09,3.07,708700.0,2178654.0
002377.SZ,2026-09-15 09:40:00,3.08,3.06,3.08,3.05,2068300.0,6324255.0
002377.SZ,2026-09-15 09:41:00,3.06,3.07,3.08,3.06,892100.0,2737866.0
002377.SZ,2026-09-15 09:42:00,3.07,3.04,3.08,3.03,2032300.0,6206347.0
002377.SZ,2026-09-15 09:43:00,3.04,3.06,3.06,3.04,767700.0,2337540.0
002377.SZ,2026-09-15 09:44:00,3.07,3.08,3.08,3.07,1160500.0,3563231.0
002377.SZ,2026-09-15 09:45:00,3.08,3.1,3.11,3.07,877100.0,2716248.0
002377.SZ,2026-09-15 09:46:00,3.11,3.14,3.15,3.11,4078000.0,12768315.0
002377.SZ,2026-09-15 09:47:00,3.14,3.11,3.15,3.11,987100.0,3095496.0
002377.SZ,2026-09-15 09:48:00,3.11,3.12,3.13,3.1,530300.0,1657254.0
002377.SZ,2026-09-15 09:49:00,3.13,3.15,3.16,3.13,1343400.0,4230293.0
002377.SZ,2026-09-15 09:50:00,3.16,3.15,3.17,3.15,998100.0,3151273.0
002377.SZ,2026-09-15 09:51:00,3.15,3.15,3.16,3.15,725600.0,2288817.0
002377.SZ,2026-09-15 09:52:00,3.16,3.15,3.16,3.14,742700.0,2340152.0
002377.SZ,2026-09-15 09:53:00,3.14,3.15,3.15,3.14,244200.0,767956.0
002377.SZ,2026-09-15 09:54:00,3.15,3.14,3.15,3.14,334600.0,1051900.0
002377.SZ,2026-09-15 09:55:00,3.14,3.13,3.14,3.13,548300.0,1718022.0
002377.SZ,2026-09-15 09:56:00,3.13,3.14,3.14,3.12,686300.0,2146366.0
002377.SZ,2026-09-15 09:57:00,3.14,3.16,3.16,3.13,1120200.0,3530571.0
002377.SZ,2026-09-15 09:58:00,3.16,3.17,3.18,3.15,801500.0,2535888.0
002377.SZ,2026-09-15 09:59:00,3.17,3.18,3.18,3.16,1026400.0,3255264.0
